"Location_ID","Location_Name","Location_Setting","Location_Description","Ecology_Facility_Site_ID","Is_Location_a_Well","Address","City","State","Zip_Code","County","Watershed_WRIA","Ecology_Region","US_Congressional_District","State_Legislative_District","NHD_Reach_Code","NHD_Reach_Measure","NHD_Edit_Date","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Horizontal_Coordinates_Represent","Horizontal_Coordinate_Accuracy","Horizontal_Coordinate_Collection_Method","Paper_Map_Scale","Township_Number","Township_Direction","Range_Number","Range_Direction","Section_Number","Quarter_Section_Township_Range","Quarter_Quarter_Section_Township_Range","Elevation_of","Elevation","Elevation_Units","Elevation_Datum","Elevation_Accuracy","Elevation_Collecton_Method","Sediment_Elevation_Elevation_Reference","Location_Suspect_or_Rejected_Flag","Location_Suspect_Code","Location_Suspect_Description","Location_ID_Alias","Associated_Study_ID","Record_Created_On","Location_System_ID"
"16B110","Hamma Hamma R nr Eldon","Stream or River","STATION LOCATED APPROX 5 MILES UPSTREAM FROM HOOD CANAL ON THE HAMMA HAMMA RIVER NEAR THE HAMMA HAMMA RIVER GUARD STATION",,"N","","","WA","","MASON","Skokomish-Dosewallips","Southwest Regional Office",6,35,"",,,47.58833,-123.11583,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",24,"N",3,"W",7,"NW","SE","",650,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001B, AMS001D, AMS001E",12/7/1998 12:00:00 AM,102011
"16B130","HAMMA HAMMA RIVER @ LENA CREEK CAMP","Stream or River","Hwy 101 to FR 25 to sampling site at Lena Creek Campground",,"N","","","WA","","MASON","Skokomish-Dosewallips","Southwest Regional Office",6,35,"17110018000204",71.083641,2/26/2012 12:00:00 AM,47.5972767653122,-123.153085626995,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","Not Applicable",24,"N",4,"W",2,"SE","NW","",,"","","","","","","","","","AMS001, AMS001-2",12/9/2010 11:03:29 AM,3393635
"16C090","DUCKABUSH RIVER NEAR BRINNON","Stream or River","LOCATED AT THE GS RECORDER IN THE SOUTHWEST QUARTER OF SECTION ONE` IN TOWNSHIP 25 NORTH, RANGE THREE WEST, 4.5 MILES UPSTREAM FROM THE MOUTH OF THE DUCKABUSH RIVER AND FIVE MILES WEST OF BRINNON, JEFFERSON COUNTY TO REACH STATION, DRIVE FROM SHELTON TOWA",,"N","","","WA","","JEFFERSON","Skokomish-Dosewallips","Southwest Regional Office",6,24,"17110018000168",44.689215019,2/26/2012 12:00:00 AM,47.68398,-123.01155,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",25,"N",3,"W",1,"SW","NW","",,"","","","","","","","","","AMS001, AMS001-2, AMS001B, AMS001D, AMS001E, AMS004",1/1/1753 12:00:00 AM,9054040
"16D070","Dosewallips R @ Brinnon","Stream or River","LOCATED AT THE BRIDGE ON HIGHWAY 101 AT BRINNON",,"N","","","WA","","JEFFERSON","Skokomish-Dosewallips","Southwest Regional Office",6,24,"",,,47.69027,-122.89777,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",25,"N",2,"W",2,"NW","","",25,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001B, AMS001D, AMS001E",12/7/1998 12:00:00 AM,3102011
"16E070","Finch Cr @ Hoodsport","Stream or River","Highway 101 in Hoodsport.  Across from Hoodsport salmon hatchery.",,"N","","","WA","","MASON","Skokomish-Dosewallips","Southwest Regional Office",6,35,"",,,47.40688,-123.14391,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",22,"N",4,"W",11,"SE","NE","",20,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001D, AMS001E, FLOW9899",12/7/1998 12:00:00 AM,4102011
"17A060","BIG QUILCENE R NR MOUTH","Stream or River","Driving southbound through the town of Quilcene, turn left on Rodgers Rd.  Drive ,0.1 miles, turn left on Linger Longer Rd. and drive 0.3 miles to the bridge.",,"N","","","WA","","JEFFERSON","Quilcence-Snow","Southwest Regional Office",6,24,"17110018000074",26.75141,2/26/2012 12:00:00 AM,47.8183888888889,-122.874027777778,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",27,"N",2,"W",24,"NE","SW","",,"","","","","","","","","","AMS001, AMS001E, AMS004, G1400530",1/1/1753 12:00:00 AM,1175870
"17A070","Big Quilcene R nr Quilcene","Stream or River","LOCATED AT THE BRIDGE ON HIGHWAY 101, 1.9 MILES SOUTHWEST OF QUILCENE",,"N","","","WA","","JEFFERSON","Quilcence-Snow","Southwest Regional Office",6,24,"",,,47.81083,-122.90916,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",27,"N",2,"W",22,"SE","SE","",120,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001B, AMS001D, AMS001E, FLOW9899",12/7/1998 12:00:00 AM,5102011
"17B070","Chimacum Cr nr Irondale","Stream or River","Chimacum Center Road.",,"N","","","WA","","JEFFERSON","Quilcence-Snow","Southwest Regional Office",6,24,"",,,48.04166,-122.78,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",29,"N",1,"W",3,"NE","NE","",40,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001D, AMS001E",12/7/1998 12:00:00 AM,6102011
"17B100","Chimacum Cr @ Chimacum","Stream or River","Chimacum Cr @ Chimacum",,"N","","","WA","","JEFFERSON","Quilcence-Snow","Southwest Regional Office",6,24,"",,,48.01183,-122.77325,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",29,"N",1,"W",14,"NW","NW","",100,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001D, AMS001E",12/7/1998 12:00:00 AM,8102011
"17C070","JIMMYCOMELATELY CR NEAR MOUTH","Stream or River","Where hwy 101 bridge crosses creek at Sequim Bay.  This creek runs through a culvert under the highway.",,"N","","","WA","","CLALLAM","Quilcence-Snow","Southwest Regional Office",6,24,"17110020000372",4.51098,2/22/2016 4:40:54 PM,48.0205,-123.00391,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",29,"N",3,"W",12,"","","",,"","","","","","","","","","AMS001E",1/1/1753 12:00:00 AM,6585870
"17G060","TARBOO CR. NR MOUTH","Stream or River","Starting in Port Angeles, go S on US101, east on US104 toward Hood Canal bridge. Go ~3.5 mi E on 104 to Quilcene/Chimacum exit.  At stop go right (S) on Chimacum/Center road.  After ~1/2 mi go left on Coyle road. After ~3 mi, just S of junction with Dabob",,"N","","","WA","","JEFFERSON","Quilcence-Snow","Southwest Regional Office",6,24,"17110018000052",85.851584194,2/26/2012 12:00:00 AM,47.8687029481741,-122.817106766442,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","1:24,000",28,"N",1,"W",33,"SW","SW","",,"","","","","","","","","","AMS001E",2/14/2007 11:51:44 AM,2764867
"18A050","DUNGENESS NEAR MOUTH","Stream or River","From hwy 101 drive north on Sequim-Dungeness Way about 6 miles to the bridge.",,"N","","","WA","","CLALLAM","Elwah-Dungeness","Southwest Regional Office",6,24,"17110020000847",6.43002,7/9/2015 10:01:20 AM,48.143805,-123.127694,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",31,"N",4,"W",41,"NE","NE","",,"","","","","","","","","","AMS001E, AMS004",1/4/2001 12:00:00 AM,3140540
"18A070","Dungeness R nr Sequim","Stream or River","LOCATED AT THE BRIDGE ON HIGHWAY 101, 2.3 MILES WEST OF SEQUIM",,"N","","","WA","","CLALLAM","Elwah-Dungeness","Southwest Regional Office",6,24,"17110020000155",80.5545513674235,1/2/2015 5:43:28 PM,48.07611,-123.14944,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",30,"N",4,"W",23,"SE","","",245,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001B, AMS001D, AMS001E, FLOW9899",12/7/1998 12:00:00 AM,202011
"18B070","ELWHA RIVER NEAR PORT ANGELES","Stream or River","LOCATED AT BRIDGE ON HIGHWAY 101, 12 MILES WEST OF PORT ANGELES",,"N","","","WA","","CLALLAM","Elwah-Dungeness","Southwest Regional Office",6,24,"17110020000025",11.6501,7/9/2015 10:09:40 AM,48.06537,-123.57769,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",30,"N",7,"W",28,"NE","SW","",,"","","","","","","","","","AMS001, AMS001-2, AMS001B, AMS001D, AMS001E, AMS004",1/1/1753 12:00:00 AM,174040
"18B080","Elwha R @ McDonald Br (USGS)","Stream or River","Elwha R @ McDonald Br (USGS)",,"N","","","WA","","CLALLAM","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.055,-123.58194,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",30,"N",7,"W",33,"NW","NE","",200,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001B, AMS001C",12/7/1998 12:00:00 AM,1202011
"18S070","CASSALERYCREEK@TAYLOR RANCH RD","Stream or River","CASSALERYCREEK@TAYLOR RANCH RD",,"N","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"17110020000297",25.7,2/26/2012 12:00:00 AM,48.12056,-123.09842,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","",30,"N",3,"W",5,"SW","NW","",,"","","","","","","","","","AMS001",11/18/2013 3:40:18 PM,100000021
"ALDERBROOK CR","ALDERBROOK CREEK @ MOUTH","Stream or River","At pedestrian bridge at Alderbrook Creek mouth",,"N","","","WA","","MASON","Kennedy-Goldsborough","Southwest Regional Office",6,35,"17110018014605",1.26221242267258,2/26/2012 12:00:00 AM,47.3477446024067,-123.06947570157,"Discrete monitoring point","+/- 3 ft (1 m)","GPS consumer unit or unknown (code phase)","Unknown",22,"N",3,"W",33,"SW","SE","",,"","","","","","","","","","G0300126",5/16/2005 4:36:35 PM,2042053
"AO#DE6815-ECO26","AO#DE6815-ECO26","Land","Approximately 2704 feet south of the center of the site.",19,"N","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1123692278719,-123.405584145057,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","",30,"N",6,"W",1,"NW","NW","",,"","","","","","","","","","AODE6815",12/19/2011 11:56:04 AM,99711404
"AO#DE6815-MW-23","AO#DE6815-MW-23","Land","Approximately 1621 feet southwest of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1164564702332,-123.409443389495,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"SE","NE","Top of Well Casing",,"","","","","","","","","","AODE6815",11/23/2011 2:53:28 PM,80250352
"AO#DE6815-MW-29","AO#DE6815-MW-29","Land","Approximately 1736 feet southwest of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1164676424868,-123.409868896652,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"SE","NE","Top of Well Casing",,"","","","","","","","","","AODE6815",11/23/2011 2:53:30 PM,43822091
"AO#DE6815-MW-51","AO#DE6815-MW-51","Land","Approximately 886 feet southwest of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1178855939263,-123.407310482872,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW","Top of Well Casing",,"","","","","","","","","","AODE6815",11/23/2011 2:53:31 PM,89912852
"AO#DE6815-MW-52","AO#DE6815-MW-52","Land","Approximately 2217 feet southwest of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1159239182896,-123.412003553586,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"SE","NE","Top of Well Casing",,"","","","","","","","","","AODE6815",11/23/2011 2:53:32 PM,36807149
"AO#DE6815-MW-53","AO#DE6815-MW-53","Land","Approximately 1623 feet southwest of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1170339679172,-123.410007742961,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"SE","NE","Top of Well Casing",,"","","","","","","","","","AODE6815",11/23/2011 2:53:33 PM,28157832
"AO#DE6815-MW-54","AO#DE6815-MW-54","Land","Approximately 1430 feet west of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1175303797335,-123.409539496194,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW","Top of Well Casing",,"","","","","","","","","","AODE6815",11/23/2011 2:53:33 PM,13420672
"AO#DE6815-MW-55","AO#DE6815-MW-55","Land","Approximately 1282 feet west of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1178353181959,-123.409275647309,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW","Top of Well Casing",,"","","","","","","","","","AODE6815",11/23/2011 2:53:34 PM,44392322
"AO#DE6815-MW-56","AO#DE6815-MW-56","Land","Approximately 864 feet south of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.117648012582,-123.406310127829,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW","Top of Well Casing",,"","","","","","","","","","AODE6815",11/23/2011 2:53:35 PM,48410933
"AO#DE6815-MW-57","AO#DE6815-MW-57","Land","Approximately 1303 feet southwest of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1172610284137,-123.408632908689,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW","Top of Well Casing",,"","","","","","","","","","AODE6815",11/23/2011 2:53:36 PM,38281284
"AO#DE6815-MW-58","AO#DE6815-MW-58","Land","Approximately 1186 feet south of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1169076808476,-123.406822043353,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW","Top of Well Casing",,"","","","","","","","","","AODE6815",11/23/2011 2:53:36 PM,44478188
"AO#DE6815-MW-59","AO#DE6815-MW-59","Land","Approximately 2046 feet south of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1150107448978,-123.400743965469,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW","Top of Well Casing",,"","","","","","","","","","AODE6815",11/23/2011 2:53:37 PM,40606198
"AO#DE6815-MW-70","AO#DE6815-MW-70","Land","Approximately 1669 feet south of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1152918258902,-123.405390118173,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Unknown","Not Applicable",30,"N",6,"W",1,"NW","NW","Top of Well Casing",,"","","","","","","","","","AODE6815",11/23/2011 2:53:45 PM,57577916
"AO#DE6815-PZ-10","AO#DE6815-PZ-10","Land","Approximately 1891 feet south of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1149010264597,-123.402493636262,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW","Top of Well Casing",,"","","","","","","","","","AODE6815",11/23/2011 2:53:49 PM,6170705
