"Location_ID","Location_Name","Well_Tag_ID","USGS_Site_Number","County_Local_or_Regional_ID","Location_Setting","Location_Description","Ecology_Facility_Site_ID","Is_Location_a_Well","Address","City","State","Zip_Code","County","Watershed_WRIA","Ecology_Region","US_Congressional_District","State_Legislative_District","NHD_Reach_Code","NHD_Reach_Measure","NHD_Edit_Date","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Horizontal_Coordinates_Represent","Horizontal_Coordinate_Accuracy","Horizontal_Coordinate_Collection_Method","Paper_Map_Scale","Township_Number","Township_Direction","Range_Number","Range_Direction","Section_Number","Quarter_Section_Township_Range","Quarter_Quarter_Section_Township_Range","Land_Surface_Elevation","Land_Surface_Elevation_Units","Land_Surface_Elevation_Datum","Land_Surface_Elevation_Accuracy","Land_Surface_Elevation_Collection_Method","Sediment_Elevation_Elevation_Reference","Groundwater_Location_Type","Well_Completion_Depth","Well_Completion_Depth_Units","Well_Completion_Type","Well_Open_Interval_Upper_Depth","Well_Open_Interval_Lower_Depth","Well_Open_Interval_Units","Well_Maximum_Casing_Diameter","Well_Maximum_Casing_Diameter_Units","Well_Casing_Material","Well_Construction_End_Date","Well_Construction_Method_Description","Well_Construction_Comment","Is_Well_Upgradient_of_a_Facility_Site","Aquifer_Test_Conducted","Naturally_Flowing_Well","Location_Suspect_or_Rejected_Flag","Location_Suspect_Code","Location_Suspect_Description","Well_Summary_Link","Location_ID_Alias","Associated_Study_ID","Record_Created_On","Location_System_ID"
"AO#DE6815-PZ-12","AO#DE6815-PZ-12","","","","Land","Approximately 2411 feet south of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1131521710365,-123.405110366706,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",22.5,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-PZ-12","","AODE6815",11/23/2011 2:53:50 PM,55086629
"AO#DE6815-PZ-3","AO#DE6815-PZ-3","","","","Land","Approximately 1169 feet southwest of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.117744846203,-123.408587321224,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",19.5,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-PZ-3","","AODE6815",11/23/2011 2:53:51 PM,20401086
"AO#DE6815-PZ-4","AO#DE6815-PZ-4","","","","Land","Approximately 1521 feet southwest of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1163254816735,-123.408265179596,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",16,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-PZ-4","","AODE6815",11/23/2011 2:53:52 PM,39584456
"AO#DE6815-PZ-5","AO#DE6815-PZ-5","","","","Land","Approximately 1732 feet south of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1151519032865,-123.406083122909,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",15,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-PZ-5","","AODE6815",11/23/2011 2:53:53 PM,813421
"AO#DE6815-PZ-6","AO#DE6815-PZ-6","","","","Land","Approximately 2302 feet south of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1140201348009,-123.406966178167,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",14.5,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-PZ-6","","AODE6815",11/23/2011 2:53:53 PM,60780779
"AO#DE6815-PZ-7","AO#DE6815-PZ-7","","","","Land","Approximately 1997 feet south of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.114572005107,-123.405272725368,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",19.5,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-PZ-7","","AODE6815",11/23/2011 2:53:54 PM,70079986
"AO#DE6815-PZ-9","AO#DE6815-PZ-9","","","","Land","Approximately 1738 feet south of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1155484615702,-123.402513523024,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",22,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-PZ-9","","AODE6815",11/23/2011 2:53:55 PM,10492898
"AODE8462-MW-13A","AODE8462 MW-13A","","","","Land","Drive toward the gate (east) on the SE corner of the perimeter road. Turn south. Well is on the right.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.4993537165746,-122.77967450293,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"NE","SE",,"","","","","","Monitoring Well",155,"FT","Cased, Open Interval",145,155,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-13A","","AODE8462",10/17/2011 11:13:22 AM,14667465
"AODE8462-MW-13B","AODE8462 MW-13B","","","","Land","Drive toward the gate (east) on the SE corner of the perimeter road. Turn south. Well is on the right.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.49932631043,-122.779673479895,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"SE","NE",,"","","","","","Monitoring Well",260,"FT","Cased, Open Interval",250,260,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-13B","","AODE8462",10/17/2011 11:13:24 AM,21049306
"AODE8462-MW-15R","AODE8462 MW-15R","","","","Land","Northeast of logged area perimeter, follow road to termination, well located over the banked end of road.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.5038216300428,-122.786459232028,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"NE","NW",,"","","","","","Monitoring Well",33,"FT","Cased, Open Interval",23,33,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-15R","","AODE8462",10/17/2011 11:13:25 AM,94836118
"AODE8462-MW-16","AODE8462 MW-16","","","","Land","Concrete pad directly to the SW of well. Access by road on the east side of pad.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.5064006506873,-122.779922049897,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"NE","NE",,"","","","","","Monitoring Well",70,"FT","Cased, Open Interval",60,70,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-16","","AODE8462",10/17/2011 11:13:26 AM,65433291
"AODE8462-MW-19C","AODE8462 MW-19C","","","","Land","West side of guard rail.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.4999781782798,-122.789088638239,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"","",,"","","","","","Monitoring Well",90,"FT","Cased, Open Interval",85,90,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-19C","","AODE8462",10/17/2011 11:13:27 AM,39738102
"AODE8462-MW-20","AODE8462 MW-20","","","","Land","Located just before the gate into the leachate pond area on the north side of the perimeter raod in a large clump of blackberries. Well is a ground level.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.5008850814492,-122.788974056182,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"NE","SW",,"","","","","","Monitoring Well",49,"FT","Cased, Open Interval",34,49,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-20","","AODE8462",10/17/2011 11:13:27 AM,86889215
"AODE8462-MW-23A","AODE8462 MW-23A","","","","Land","Access road contours along below the perimeter road. Access road branches from perimeter road west of MW-24. Must be looking west to see this road. Often very overgrown with blackberries.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.5026987912388,-122.784904283587,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"NE","",,"","","","","","Monitoring Well",23,"FT","Cased, Open Interval",8,23,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-23A","","AODE8462",10/17/2011 11:13:28 AM,98039076
"AODE8462-MW-24","AODE8462 MW-24","","","","Land","In manhole on perimeter road.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.5035671782239,-122.78373036248,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"NE","",,"","","","","","Monitoring Well",42,"FT","Cased, Open Interval",27,42,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-24","","AODE8462",10/17/2011 11:13:29 AM,97394532
"AODE8462-MW-29A","AODE8462 MW-29A","","","","Land","On the western nose of the perimeter road.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.5000528059055,-122.792751192077,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"NW","SE",,"","","","","","Monitoring Well",25,"FT","Cased, Open Interval",20,25,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-29A","","AODE8462",10/17/2011 11:13:30 AM,23203989
"AODE8462-MW-2B1","AODE8462 MW-2B1","","","","Land","North side of the start of the logged area perimter road, as it branches from main perimeter road.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.5019661524722,-122.787064186182,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"NE","SW",,"","","","","","Monitoring Well",18,"FT","Cased, Open Interval",8,18,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-2B1","","AODE8462",10/17/2011 11:13:31 AM,22694620
"AODE8462-MW-32","AODE8462 MW-32","","","","Land","Drive around the nose of the perimeter road, on the north side. Access road branches NE. Well often is surrounded with some water",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.5009994261085,-122.791706577678,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"NW","SE",,"","","","","","Monitoring Well",21,"FT","Cased, Open Interval",16,21,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-32","","AODE8462",10/17/2011 11:13:31 AM,69886104
"AODE8462-MW-33A","AODE8462 MW-33A","","","","Land","Access through private property.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.5020302748777,-122.794789329822,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"NW","",,"","","","","","Monitoring Well",20,"FT","Cased, Open Interval",5,20,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-33A","","AODE8462",10/17/2011 11:13:32 AM,41861797
"AODE8462-MW-33C","AODE8462 MW-33C","","","","Land","Access through private property.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.5019754628604,-122.794787267761,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"NW","",,"","","","","","Monitoring Well",65,"FT","Cased, Open Interval",55,65,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-33C","","AODE8462",10/17/2011 11:13:33 AM,67770723
"AODE8462-MW-34A","AODE8462 MW-34A","","","","Land","West of logged area perimeter.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.5023588906481,-122.789567786596,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"NE","SW",,"","","","","","Monitoring Well",48,"FT","Cased, Open Interval",28,48,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-34A","","AODE8462",10/17/2011 11:13:34 AM,44064052
"AODE8462-MW-34C","AODE8462 MW-34C","","","","Land","West of logged area perimeter.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.5023598759243,-122.789510599455,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"NE","SW",,"","","","","","Monitoring Well",98,"FT","Cased, Open Interval",83,98,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-34C","","AODE8462",10/17/2011 11:13:35 AM,34271500
"AODE8462-MW-35","AODE8462 MW-35","","","","Land","This well is outside the property. Turn left after the railroad tracks (N side of tracks) just before site entrance. Drive along dirt road headed south. Well is before the looped turn-around on the east side of the dirt road in a scotchbroom patch.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.5012573382218,-122.778064092033,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",11,"NW","SW",,"","","","","","Monitoring Well",149,"FT","Cased, Open Interval",139,149,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-35","","AODE8462",10/17/2011 11:13:36 AM,75994771
"AODE8462-MW-36a","AODE8462 MW-36a","","","","Land","SW of leachate pond, north of perimeter road.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.5033539541771,-122.789582580743,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"NE","NW",,"","","","","","Monitoring Well",50,"FT","Cased, Open Interval",45,50,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-36a","","AODE8462",10/17/2011 11:13:41 AM,67530739
"AODE8462-MW-39","AODE8462 MW-39","","","","Land","Offshoot of perimeter road, north of the stormwater pond.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.5051183424366,-122.784022723886,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"NE","NE",,"","","","","","Monitoring Well",25,"FT","Cased, Open Interval",15,25,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-39","","AODE8462",10/17/2011 11:13:38 AM,27077065
"AODE8462-MW-4","AODE8462 MW-4","","","","Land","South of trailer, past fence line, on south side of gully.",,"Y","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"",,,47.499361464579,-122.7896255332,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",23,"N",1,"W",10,"","",,"","","","","","Monitoring Well",34,"FT","Cased, Open Interval",24,34,"FT",,"","",,"","","","N","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AODE8462-MW-4","","AODE8462",10/17/2011 11:13:39 AM,8761214
