ProjectNumber,ProjectType,ProjectName,CurrentStatus,TotalAcres,WetlandAcres,RiparianAcres,UplandAcres,TidelandAcres,LakeAcres,LandCost,OtherAcqCost,FishScreening,FishPassage,InstreamFlow,InstreamHabitat,Riparian,Upland,WaterQuality,Wetland,Estuarine,Stewardship,GeneralRst,OtherRstCost
09-1672,Restoration,Chico Crk Inst. Restoration Phase 2 Construction,Closed Completed,,,,,,,,,,"$56,239.00",,"$605,642.00","$50,000.00",,,,,,"$121,300.00","$119,786.00"
09-1690,Planning,West Sound Water Type Assessment,Closed Completed,,,,,,,,,,,,,,,,,,,,
09-1691,Planning,Powel Shoreline Restoration Design,Closed Completed,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
09-1568,Planning,WRIA 14 Three Year Workplan Project Development,Closed Completed,,,,,,,,,,,,,,,,,,,,
10-1522,Restoration,Lower Tahuya LWD Placement,Closed Completed,,,,,,,,,,,,"$126,824.00","$1,000.00",,,,,,"$1,200.00","$56,435.00"
10-1566,Restoration,Little Quilcene Brush Plant Road Reach,Closed Completed,,,,,,,,,,,,"$109,206.00","$17,700.00","$12,500.00",,,,"$11,540.00","$35,000.00","$51,164.00"
10-1878,Planning,West Sound Water Type Assessment Phase II,Closed Completed,,,,,,,,,,,,,,,,,,,,
10-1879,Planning,Chico Phase 3 Design,Closed Completed,,,,,,,,,,,,,,,,,,,,
10-1882,Planning,West Bainbridge Shoreline Protection Feasibility,Closed Completed,,,,,,,,,,,,,,,,,,,,"$3,062.00"
10-1776,Restoration,Midway Creek Fish Barrier Removal Project,Closed Completed,,,,,,,,,,"$237,448.00",,,,,,,,,"$11,000.00","$54,801.00"
10-1779,Restoration,Case Inlet Shoreline Enhancement Project,Closed Completed,,,,,,,,,,,,,,,,,"$108,065.00",,,"$48,594.00"
10-1781,Planning & Restoration,Squaxin Island Pier and Bulkhead Removal,Closed Completed,,,,,,,,,,,,,,,,,"$116,861.00",,,"$18,292.00"
10-1061,Acquisition,Sunset Bluff Natural Area Park Phase 1,Closed Completed,36.5,2.2,12.3,20.8,1.2,,"$1,300,000.00","$12,700.00",,,,,,,,,,,,
11-1314,Restoration,Maynard Nearshore Restoration,Closed Completed,,,,,,,,,,,,,"$15,000.00",,,,"$388,682.00",,"$35,490.00","$129,801.00"
11-1316,Planning,Lilliwaup Creek-Restoration Design Plan Completion,Closed Completed,,,,,,,,,,,,,,,,,,,,
11-1348,Restoration,Union River Estuary Restoration,Closed Completed,,,,,,,,,,,,,,,,,"$1,739,548.00",,,"$60,918.00"
11-1349,Acquisition & Restoration,Big Quilcene Delta Acquisition,Closed Completed,30.13,0.71,2.58,3.68,20.13,3.03,"$644,500.00","$55,260.00",,,,,,,,,"$420,679.00",,,"$65,812.00"
11-1351,Planning,Lower Big Beef Creek Restoration Design,Closed Completed,,,,,,,,,,,,,,,,,,,,$-
,,,,,,,,,,,,,,,,,,,,,,,
11-1356,Acquisition & Restoration,Lower Mainstem Chimacum Creek Acquisition,Closed Completed,5,,5,0,,,"$120,000.00","$16,885.00",,,,,"$25,576.00","$1,335.00",,,,"$2,520.00",$750.00,"$6,355.00"
11-1358,Acquisition & Restoration,Skokomish Rvr floodplain acquisition & restoration,Active,93.5,40,47.5,6,,,"$406,850.00","$58,750.00",,,,"$1,100.00","$4,200.00","$2,000.00",,"$1,500.00","$12,550.00",,"$5,450.00","$10,550.00"
11-1361,Restoration,Skokomish Estuary Restoration Phase III,Closed Completed,,,,,,,,,,"$476,742.00",,,,,,,"$1,728,520.00",,,"$42,216.00"
11-1362,Restoration,Tahuya River LWD placement - Phase 2,Closed Completed,,,,,,,,,,,,"$68,630.00","$42,135.00",,,,,,"$35,159.00","$35,234.00"
,,,,,,,,,,,,,,,,,,,,,,,
11-1642,Restoration,Five Mile Creek LWD Placement,Closed Completed,,,,,,,,,,,,"$57,802.00",,,,,,,,"$8,000.00"
11-1470,Restoration,Gorst Creek Habitat Enhancement,Closed Completed,,,,,,,,,,,,"$69,293.00","$3,804.00",,,,,,"$3,090.00","$11,446.00"
11-1505,Restoration,Powel Shoreline Restoration Implementation,Closed Completed,,,,,,,,,"$10,138.00",,,,"$52,073.00",,,,"$205,461.00",$716.00,"$1,706.00","$73,900.00"
,,,,,,,,,,,,,,,,,,,,,,,
11-1543,Restoration,Middle Goldsborough In-stream Habitat Projects,Closed Completed,,,,,,,,,,,,"$188,026.00",,,,,,,,"$57,804.00"
11-1554,Acquisition,Upper Goldsborough Habitat Acquisition Phase 2,Closed Completed,155,123,7,25,,,"$468,500.00","$61,351.00",,,,,,,,,,,,
11-1557,Planning & Restoration,Riparian Assessment and Restoration in WRIA 14,Closed Completed,,,,,,,,,,,,,"$34,262.00",,,,,,,"$8,609.00"
,,,,,,,,,,,,,,,,,,,,,,,
13-1558,Planning,Kilisut Harbor Restoration Design,Active,,,,,,,,,,,,,,,,,,,,"$5,000.00"
12-1422,Acquisition,Divide Block Kitsap Forest and Bay- Grovers Creek,Active,325.8,174.5,100.9,48.9,1.5,0,"$2,243,780.00","$387,782.00",,,,,,,,,,,,
12-1590,Acquisition & Restoration,Oakland Bay Estuary Conservation Phase 3,Active,76,0,49,0,27,0,"$2,066,000.00","$214,750.00",,,,"$30,000.00","$20,000.00",,,,"$123,000.00",,,"$53,000.00"
13-1173,Restoration,Southern Hood Canal Riparian Enhancement Phase II,Active,,,,,,,,,,,,,"$534,461.00",,,,,,,"$97,235.00"
13-1198,Acquisition & Restoration,Snow Creek Watershed Acquisition and Restoration,Active,102.33,,69.55,32.78,,,"$427,269.00","$29,763.00",,,,,"$26,800.00",,,,,,,"$10,640.00"
13-1199,Restoration,East Jefferson Summer Chum Riparian Phase II,Active,,,,,,,,,,,,,"$239,385.00",,,,,,,"$31,753.00"
13-1204,Planning,Lower Skabob Creek Restoration Preliminary Design,Closed Completed,,,,,,,,,,,,,,,,,,,,$-
13-1209,Planning,Lower Big Quilcene River Master Plan Design,Active,,,,,,,,,,,,,,,,,,,,"$11,200.00"
13-1219,Restoration,Hood Canal Summer Chum Riparian Restoration,Active,,,,,,,,,,,,,"$159,090.00",,,,,,,
13-1220,Planning & Acquisition,Skokomish Confluence Levee Design and Acquisition,Active,134.4,,134.4,,,,"$137,563.00","$246,119.00",,,,,,,,,,,,
13-1221,Acquisition & Restoration,Duckabush Floodplain Acquisition 2013,Active,15.5,10,2.8,2.7,,,"$226,059.00","$81,900.00",,,,,"$5,000.00","$1,370.00",,,,,"$4,130.00","$9,350.00"
,,,,,,,,,,,,,,,,,,,,,,,
13-1137,Restoration,Milwaukee Dock Eelgrass Restoration,Active,,,,,,,,,,,,,,,,,"$1,672,000.00",,,"$196,000.00"
13-1140,Acquisition & Restoration,W Bainbridge Shoreline Protection PSAR,Active,12.49,,7.43,,5.06,,"$1,000,000.00","$149,300.00",,,,,"$32,500.00",,,,,,"$14,200.00","$5,000.00"
15-1471,Acquisition,Illahee Forest Preserve,Active,24,,6,18,,,"$300,000.00",,,,,,,,,,,,,
13-1143,Planning,West Sound Watertyping III,Closed Completed,,,,,,,,,,,,,,,,,,,,
13-1193,Planning,Keta Park Floodplain Restoration Design,Active,,,,,,,,,,,,,,,,,,,,"$10,000.00"
13-1194,Acquisition,Carpenter Creek Estuary Acquisition,Active,55,5.28,18.2,17.61,13.91,,"$750,494.00","$59,494.00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
13-1244,Planning & Restoration,Goldsborough and Mill Knotweed Assessment,Active,,,,,,,,,,,,,"$15,000.00",,,,,,,
13-1246,Restoration,Johns Creek LWD and Riparian Restoration,Active,,,,,,,,,,,,"$66,811.00","$23,000.00",,,,,,,"$16,145.00"
13-1250,Restoration,Collier Boat Ramp and Jetty,Active Completed,,,,,,,,,,,,,,,,,"$86,778.00",,,"$52,950.00"
,,,,,,,,,,,,,,,,,,,,,,,
14-1021,Planning,West Uncas Rd / Salmon Creek Culvert Design,Closed Completed,,,,,,,,,,,,,,,,,,,,
14-1300,Acquisition & Restoration,Dosewallips Estuary Barge Removal,Active,1.5,,,,1.5,,"$20,000.00","$5,853.00",,,,,"$1,638.00",,,,"$151,818.00",,,"$46,671.00"
14-1321,Acquisition & Restoration,Lower Big Quilcene River Riparian Protection,Active,14.16,,7.66,6.5,,,"$125,000.00","$45,100.00",,,,,"$15,000.00",,,,,,,"$4,500.00"
14-1322,Acquisition,Duckabush Riparian Habitat Acquisition,Active,215,,215,,,,"$850,000.00","$121,500.00",,,,,,,,,,,,
14-1326,Acquisition & Restoration,Beards Cove Restoration,Active,8.1,,2.3,,5.8,,"$125,000.00","$22,000.00",,,,,"$71,000.00",,,,"$634,000.00",,"$80,000.00","$135,000.00"
14-1369,Restoration,Skokomish Estuary Restoration Phase 3C,Active,,,,,,,,,,,,,,,,,"$476,651.00",,,"$68,761.00"
14-2214,Planning,Duckabush Estuary Feasibility Study,Active,,,,,,,,,,,,,,,,,,,,
14-1375,Planning,West Sound Nearshore Integration & Synthesis,Active,,,,,,,,,,,,,,,,,,,,
14-1949,Planning,Evergreen Park Nearshore Restoration Design,Active,,,,,,,,,,,,,,,,,,,,"$2,500.00"
15-1189,Acquisition & Restoration,Big Quilcene River Floodplain Key Pieces,Active,2.45,0,1.56,0.89,0,0,"$425,000.00","$244,165.00",,,,,"$14,600.00",,,,,,$700.00,"$5,000.00"
15-1191,Planning,Hood Canal Bridge Impact Assessment,Active,,,,,,,,,,,,,,,,,,,,
15-1192,Restoration,"Salmon Creek Bridge Construction, West Uncas Road",Active,,,,,,,,,,"$806,514.00",,,,,,,,,,"$118,986.00"
15-1195,Planning,Skokomish Valley Rd Realignment Conceptual Design,Active,,,,,,,,,,,,,,,,,,,,"$5,000.00"
15-1196,Planning,Upper SF Skokomish Channel - Floodplain Assessment,Active,,,,,,,,,,,,,,,,,,,,
15-1197,Restoration,Weaver Creek Reconnection,Active,,,,,,,,,,,,"$266,704.00","$8,120.00",,,,,,,"$68,477.00"
15-1205,Planning,Lower Mainstem Skokomish LWD Design – HWY 101,Active,,,,,,,,,,,,,,,,,,,,"$15,000.00"
15-1074,Planning,Cowling Creek Culverts Replacement Feasibility,Active,,,,,,,,,,,,,,,,,,,,"$2,000.00"
15-1075,Planning,Harper Estuary Restoration Final Design,Active,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
15-1107,Planning & Acq & Restore,West Oakland Bay Restoration & Conservation,Active,14,2,8,,4,0,"$240,000.00","$25,000.00",,,,,,,,,"$1,156,771.00",,,"$385,359.00"
15-1182,Restoration,Anderson Creek Enhancement Project 2,Active,,,,,,,,,,,,"$84,500.00","$16,250.00",,,,,,,"$43,000.00"
