ProjectNumberCC,ProjectNumber,ProjectName,ProjectType,ActionCategory,ProjectDetail
2007-1844,07-1844,WRIA 14 Beach Seine Project Development,Salmon Stock Supplementation / Assessement,,General Research
2008-1990,08-1990,Big Quilcene River ELJ Restoration Phase 2,In-Stream Habitat Improvement,Habitat complexity,Instream structures
2008-2157,08-2157,Phase 2 Tarboo Bay Land Acquisition,Acquisition / Protection,,Acquisition of land
2008-1330,08-1330,Harstine Island - Scott Acquisition,Acquisition / Protection,,Acquisition of land
2009-1438,09-1438,Little Quilcene River Delta Cone Removal - Ph 3,Estuarine / Marine Nearshore,Tidal channel reconnection,Dike Modification / Removal
2009-1610,09-1610,Donovan Creek Acquisition and Restoration - 135,Acquisition / Protection,,Riparian Restoration
2009-1630,09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,Acquisition / Protection,,Acquisition of land
2009-1633,09-1633,Big Beef Creek Conservation,Acquisition / Protection,,Acquisition of land
2009-1639,09-1639,Union Estuary Johnson Farm Dike Design,Planning / Project Development,,
2009-1665,09-1665,Southern Hood Canal Riparian Enhancement Project,Riparian Improvement,,Riparian Restoration
2009-1668,09-1668,Corps General Investigation of Skokomish support,Planning / Project Development,,
2009-1706,09-1706,Big Quilcene ELJ Restoration Phase 1,In-Stream Habitat Improvement,Habitat complexity,Instream structures
2009-1788,09-1788,Donovan Creek Acquisition,Acquisition / Protection,,Riparian Restoration
2009-1515,09-1515,Lead Entity West Sound Watershed,Planning / Project Development,,
2009-1672,09-1672,Chico Crk Inst. Restoration Phase 2 Construction,In-Stream Habitat Improvement,Fish Passage,Fish Passage
2009-1690,09-1690,West Sound Water Type Assessment,Salmon Stock Supplementation / Assessement,,General Research
2009-1691,09-1691,Powel Shoreline Restoration Design,Planning / Project Development,,
2009-1545,09-1545,Lead Entity WRIA 14 Mason CD,Planning / Project Development,,
2009-1568,09-1568,WRIA 14 Three Year Workplan Project Development,Planning / Project Development,,
2010-1522,10-1522,Lower Tahuya LWD Placement,In-Stream Habitat Improvement,Habitat complexity,Instream structures
2010-1566,10-1566,Little Quilcene Brush Plant Road Reach,In-Stream Habitat Improvement,Upland Improvement,Upland plant establishment and management
2010-1878,10-1878,West Sound Water Type Assessment Phase II,Salmon Stock Supplementation / Assessement,,General Research
2010-1879,10-1879,Chico Phase 3 Design,Salmon Stock Supplementation / Assessement,,Salmon stock research
2010-1882,10-1882,West Bainbridge Shoreline Protection Feasibility,Planning / Project Development,,
2010-1776,10-1776,Midway Creek Fish Barrier Removal Project,Estuarine / Marine Nearshore,Fish Passage,Culvert removal / repair
2010-1779,10-1779,Case Inlet Shoreline Enhancement Project,Estuarine / Marine Nearshore,,Bulkhead Removal
2010-1781,10-1781,Squaxin Island Pier and Bulkhead Removal,Estuarine / Marine Nearshore,,Bulkhead Removal
2010-1061,10-1061,Sunset Bluff Natural Area Park Phase 1,Acquisition / Protection,,Acquisition of land
2011-1314,11-1314,Maynard Nearshore Restoration,Estuarine / Marine Nearshore,Reconnection,Dike Modification / Removal
2011-1316,11-1316,Lilliwaup Creek-Restoration Design Plan Completion,Planning / Project Development,,
2011-1348,11-1348,Union River Estuary Restoration,Estuarine / Marine Nearshore,Reconnection,Dike Modification / Removal
2011-1349,11-1349,Big Quilcene Delta Acquisition,Acquisition / Protection,,Acquisition of land
2011-1351,11-1351,Lower Big Beef Creek Restoration Design,Planning / Project Development,,
2011-1354,11-1354,Dosewallips Floodplain & Estuary Resoration -2011,Estuarine / Marine Nearshore,Reconnection,Dike Modification / Removal
2011-1356,11-1356,Lower Mainstem Chimacum Creek Acquisition,Acquisition / Protection,,Riparian Restoration
2011-1358,11-1358,Skokomish Rvr floodplain acquisition & restoration,Acquisition / Protection,,Acquisition of land
2011-1361,11-1361,Skokomish Estuary Restoration Phase III,Estuarine / Marine Nearshore,,Tidal channel reconstruction
2011-1362,11-1362,Tahuya River LWD placement - Phase 2,Riparian Improvement,Habitat complexity,Instream structures
2011-1551,11-1551,Hood Canal Regional Salmon Recovery,Planning / Project Development,,
2011-1642,11-1642,Five Mile Creek LWD Placement,In-Stream Habitat Improvement,Habitat complexity,Instream structures
2011-1470,11-1470,Gorst Creek Habitat Enhancement,In-Stream Habitat Improvement,,Planting native vegetation
2011-1505,11-1505,Powel Shoreline Restoration Implementation,Estuarine / Marine Nearshore,,Bulkhead Removal
2011-1484,11-1484,Mason Conservation District Lead Entity,Planning / Project Development,,
2011-1543,11-1543,Middle Goldsborough In-stream Habitat Projects,In-Stream Habitat Improvement,Habitat complexity,Instream structures
2011-1554,11-1554,Upper Goldsborough Habitat Acquisition Phase 2,Acquisition / Protection,,Acquisition of land
2011-1557,11-1557,Riparian Assessment and Restoration in WRIA 14,Salmon Stock Supplementation / Assessement,,Salmon stock research
2011-1485,11-1485,West Sound Watersheds Council Lead Entity,Planning / Project Development,,
2013-1558,13-1558,Kilisut Harbor Restoration Design,Planning / Project Development,,
2012-1422,12-1422,Divide Block Kitsap Forest and Bay- Grovers Creek,Acquisition / Protection,,Acquisition of land
2012-1590,12-1590,Oakland Bay Estuary Conservation Phase 3,Acquisition / Protection,Reconnection,Dike Modification / Removal
2013-1173,13-1173,Southern Hood Canal Riparian Enhancement Phase II,Riparian Improvement,,Planting native vegetation
2013-1198,13-1198,Snow Creek Watershed Acquisition and Restoration,Acquisition / Protection,,Acquisition of land
2013-1199,13-1199,East Jefferson Summer Chum Riparian Phase II,Riparian Improvement,,Riparian Restoration
2013-1204,13-1204,Lower Skabob Creek Restoration Preliminary Design,Planning / Project Development,,
2013-1209,13-1209,Lower Big Quilcene River Master Plan Design,Planning / Project Development,,
2013-1219,13-1219,Hood Canal Summer Chum Riparian Restoration,Riparian Improvement,,Planting native vegetation
2013-1220,13-1220,Skokomish Confluence Levee Design and Acquisition,Acquisition / Protection,,Acquisition of land
2013-1221,13-1221,Duckabush Floodplain Acquisition 2013,Acquisition / Protection,,Acquisition of land
2013-1383,13-1383,Hood Canal Reg. Salmon Recovery,Planning / Project Development,,
2013-1137,13-1137,Milwaukee Dock Eelgrass Restoration,Estuarine / Marine Nearshore,,Native plant establishment
2013-1140,13-1140,W Bainbridge Shoreline Protection PSAR,Acquisition / Protection,,Conservation easement/preservation agreement
2015-1471,15-1471,Illahee Forest Preserve,Acquisition / Protection,,Acquisition of land
2013-1143,13-1143,West Sound Watertyping III,Salmon Stock Supplementation / Assessement,,General Research
2013-1193,13-1193,Keta Park Floodplain Restoration Design,Planning / Project Development,,
2013-1194,13-1194,Carpenter Creek Estuary Acquisition,Acquisition / Protection,,Acquisition of land
2013-1371,13-1371,Mason Conservation District LE,Planning / Project Development,,
2013-1244,13-1244,Goldsborough and Mill Knotweed Assessment,Riparian Improvement,,Managing invasive species
2013-1246,13-1246,Johns Creek LWD and Riparian Restoration,Riparian Improvement,Habitat complexity,Instream structures
2013-1250,13-1250,Collier Boat Ramp and Jetty,Estuarine / Marine Nearshore,,Bulkhead Removal
2013-1372,13-1372,West Sound Watersheds Council LE,Planning / Project Development,,
2014-1021,14-1021,West Uncas Rd / Salmon Creek Culvert Design,Planning / Project Development,,
2014-1300,14-1300,Dosewallips Estuary Barge Removal,Acquisition / Protection,,Acquisition of land
2014-1321,14-1321,Lower Big Quilcene River Riparian Protection,Acquisition / Protection,,Conservation easement/preservation agreement
2014-1322,14-1322,Duckabush Riparian Habitat Acquisition,Acquisition / Protection,,Acquisition of land
2014-1326,14-1326,Beards Cove Restoration,Acquisition / Protection,,Acquisition of land
2014-1369,14-1369,Skokomish Estuary Restoration Phase 3C,Estuarine / Marine Nearshore,,Tidal wetland Restoration
2014-2214,14-2214,Duckabush Estuary Feasibility Study,Salmon Stock Supplementation / Assessement,,Salmon stock research
2014-1375,14-1375,West Sound Nearshore Integration & Synthesis,Planning / Project Development,,
2014-1949,14-1949,Evergreen Park Nearshore Restoration Design,Planning / Project Development,,
2015-1189,15-1189,Big Quilcene River Floodplain Key Pieces,Acquisition / Protection,,Acquisition of land
2015-1191,15-1191,Hood Canal Bridge Impact Assessment,Salmon Stock Supplementation / Assessement,,Salmon stock research
2015-1192,15-1192,"Salmon Creek Bridge Construction, West Uncas Road",Estuarine / Marine Nearshore,Fish Passage,Removing Barriers
2015-1195,15-1195,Skokomish Valley Rd Realignment Conceptual Design,Planning / Project Development,,
2015-1196,15-1196,Upper SF Skokomish Channel - Floodplain Assessment,Salmon Stock Supplementation / Assessement,,
2015-1197,15-1197,Weaver Creek Reconnection,In-Stream Habitat Improvement,Reconnection,Channel Connectivity
2015-1205,15-1205,Lower Mainstem Skokomish LWD Design – HWY 101,Planning / Project Development,,
2015-1074,15-1074,Cowling Creek Culverts Replacement Feasibility,Planning / Project Development,,
2015-1075,15-1075,Harper Estuary Restoration Final Design,Planning / Project Development,,
2015-1080,15-1080,Grovers Creek Protection Phase II,Acquisition / Protection,,Conservation easement/preservation agreement
2015-1408,15-1408,West Sound Watersheds Council Lead Entity 2015-17,Planning / Project Development,,
2015-1107,15-1107,West Oakland Bay Restoration & Conservation,Estuarine / Marine Nearshore,Reconnection,Dike Modification / Removal
2015-1182,15-1182,Anderson Creek Enhancement Project 2,In-Stream Habitat Improvement,Habitat complexity,Instream structures
2015-1412,15-1412,WRIA14 Salmon Habitat Recovery Lead Entity 2015-17,Planning / Project Development,,
2015-1348,15-1348,Hood Canal Regional Salmon Recovery Organization,Planning / Project Development,,
