ProjectNumber,ProjectName,ProjectType,CurrentStatus,ProgramName,MetricCategory,MetricDetail1,MetricDetail2,MetricDetail3,ProposedAnswer,FinalAnswer,UnitTypeName,Action_MetricLevel,ActionSummary_MetricLevel
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.20,0.20,Miles,,
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,4.70,4.51,Acres,Land Acquisition Fee Simple,Acquisition
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Project Acquisition,Project acres by purpose type,,,6.70,6.51,Acres,,
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,4.0,4.0,Acres,,
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Shoreline armor removal or modification (C.9.k.1),Miles of Shoreline Treated for armor modification/removal (C.9.k.2),,0.00,0.00,Miles,Remove Armor,Shoreline Restoration
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Beach nourishment (C.9.l.1),Miles of Shoreline Treated for beach nourishment (C.9.l.3),,0.00,0.10,Miles,Beach,Shoreline Restoration
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Beach nourishment (C.9.l.1),Cubic Yards Of Beach Substrate Placed (C.9.l.2),,0,5,Cu Yards,Beach,Shoreline Restoration
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Channel modification (C.9.c.1),Acres of Estuary Treated (C.9.c.3),,0.0,0.3,Acres,Channel Connectivity,Habitat
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Beach nourishment (C.9.l.1),Acres Treated for beach nourishment (C.9.l.4),,0.0,4.0,Acres,Beach,Shoreline Restoration
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Regrading of slope (C.9.i.1),Acres of Estuary Treated through slope regrading (C.9.i.2),,0.0,2.0,Acres,Slope,Habitat
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Estuarine plant removal / control (C.9.j.1),Acres of Estuary Treated for plant removal/control (C.9.j.3),,4.0,0.0,Acres,Remove Plants Invasive,Waste
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Dike Or berm modification / removal (C.9.d.1),Miles Of Dikes Removed (C.9.d.2),,0.00,0.20,Miles,Remove Dike,Fish Passage / Flood Protection
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Creation of new estuarine area (C.9.q.1),Acres of Estuary Created (C.9.q.2),,0.0,0.0,Acres,Estuary Made / Floodplain Improved,Summary Metric
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Dike Or berm modification / removal (C.9.d.1),Acres of Habitat Made Available To Salmonids through dike or berm modification/removal (C.9.d.3),,0.0,4.0,Acres,Remove Dike,Fish Passage / Flood Protection
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Debris removal (C.9.n.1),Acres Treated for debris removal (C.9.n.2),,0.0,0.5,Acres,Debris,Waste
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,General restoration activities,Restoration signs,Number of signs installed,,0,1,Number,Infrastructure,Human
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Shoreline armor removal or modification (C.9.k.1),Acres of Shoreline Treated for armor modification/removal (C.9.k.3),,0.0,0.0,Acres,Remove Armor,Shoreline Restoration
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Channel modification (C.9.c.1),Yards of Channel Modified/Created (C.9.c.2),,0,56,Yards,Channel Connectivity,Habitat
07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.20,Number,,
07-1638,Snow/Salmon Cr. 2007 Riparian Project,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,2.00,1.76,Miles,,
07-1638,Snow/Salmon Cr. 2007 Riparian Project,R,Closed Comp,PSAR,Riparian Habitat Project,Water gap development (C.5.f.1),Number of water gap installations (C.5.f.2),,0,2,Number,Water,Flow
07-1638,Snow/Salmon Cr. 2007 Riparian Project,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1638,Snow/Salmon Cr. 2007 Riparian Project,R,Closed Comp,PSAR,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Acres of riparian treated for plant removal/control (C.5.h.3),,2.0,2.0,Acres,Remove Plants Invasive,Waste
07-1638,Snow/Salmon Cr. 2007 Riparian Project,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,19.0,18.4,Acres,,
07-1638,Snow/Salmon Cr. 2007 Riparian Project,R,Closed Comp,PSAR,Riparian Habitat Project,Fencing (C.5.d.1),Acres of Riparian Area Protected by fencing (C.5.d.3),,0.0,17.7,Acres,Livestock,Exclusion
07-1638,Snow/Salmon Cr. 2007 Riparian Project,R,Closed Comp,PSAR,Riparian Habitat Project,Fencing (C.5.d.1),Miles of Fence Along Stream (C.5.d.2),,0.00,0.99,Miles,Livestock,Exclusion
07-1638,Snow/Salmon Cr. 2007 Riparian Project,R,Closed Comp,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,0,2,Number,Permit,Planning
07-1638,Snow/Salmon Cr. 2007 Riparian Project,R,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,6.00,Number,,
07-1638,Snow/Salmon Cr. 2007 Riparian Project,R,Closed Comp,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,0.0,18.4,Acres,Riparian,Habitat
07-1640,Quilcene Bay Conservation - Ward,A,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1640,Quilcene Bay Conservation - Ward,A,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,2.00,Number,,
07-1640,Quilcene Bay Conservation - Ward,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
07-1640,Quilcene Bay Conservation - Ward,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
07-1640,Quilcene Bay Conservation - Ward,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,80.00,80.00,Acres,Land Acquisition Fee Simple,Acquisition
07-1640,Quilcene Bay Conservation - Ward,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
07-1640,Quilcene Bay Conservation - Ward,A,Closed Comp,PSAR,Real Property Acquisition,Project Acres Acquired,,,80.00,80.00,Acres,,
07-1640,Quilcene Bay Conservation - Ward,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
07-1640,Quilcene Bay Conservation - Ward,A,Closed Comp,PSAR,Project Acquisition,Project acres by purpose type,,,0.00,80.00,Acres,,
07-1640,Quilcene Bay Conservation - Ward,A,Closed Comp,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.10,0.10,Miles,,
07-1641,Five Mile Creek LWD,R,Closed Comp,PSAR,Wetland Project,Artificial wetland created (C.8.f.1),Artificial Wetland Acres Created  (C.8.f.2),,0.0,0.0,Acres,Wetland,Habitat
07-1641,Five Mile Creek LWD,R,Closed Comp,PSAR,Wetland Project,Wetland plant removal / control (C.8.d.1),Acres of wetland treated for plant removal/control (C.8.d.3),,0.0,0.0,Acres,Remove Plants Invasive,Waste
07-1641,Five Mile Creek LWD,R,Closed Comp,PSAR,Wetland Project,Total Acres Of Wetland Area Treated (C.8.b),,,0.0,0.0,Acres,,
07-1641,Five Mile Creek LWD,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1641,Five Mile Creek LWD,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Number of structures placed in channel (C.4.d.7),,0,0,Number,In-stream Installation,Habitat
07-1641,Five Mile Creek LWD,R,Closed Comp,PSAR,Fish Passage Improvement,Miles Of Stream Made Accessible (C.2.b.1),,,0.00,0.00,Miles,,
07-1641,Five Mile Creek LWD,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Acres Of Streambed Treated for channel structure placement (C.4.d.4),,0.0,0.0,Acres,In-stream Installation,Habitat
07-1641,Five Mile Creek LWD,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Yards Of Average Stream-Width At Mid-Point Of Worksite (C.4.d.6),,0,133,Yards,In-stream Installation,Habitat
07-1641,Five Mile Creek LWD,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Pools Created through channel structure placement (C.4.d.5),,0,0,Number,In-stream Installation,Habitat
07-1641,Five Mile Creek LWD,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Miles of Stream Treated for channel structure placement (C.4.d.3),,0.00,0.00,Miles,In-stream Installation,Habitat
07-1641,Five Mile Creek LWD,R,Closed Comp,PSAR,Fish Passage Improvement,Square Miles Of streambed made accessible (C.2.b.2),,,0.0,0.0,Sq Miles,,
07-1641,Five Mile Creek LWD,R,Closed Comp,PSAR,Fish Passage Improvement,Fish passage blockages removed or altered (C.2.c.1),Number of Blockages/Impediments/Barriers Removed/Altered (C.2.c.2),,0,0,Number,Remove Blockage,Fish Passage
07-1641,Five Mile Creek LWD,R,Closed Comp,PSAR,Instream Habitat Project,Streambank stabilization (C.4.e.1),Miles of Streambank Stabilized (C.4.e.3),,0.00,0.00,Miles,Streambank Stablized,Summary Metric
07-1641,Five Mile Creek LWD,R,Closed Comp,PSAR,Instream Habitat Project,Total Miles Of Instream Habitat Treated (C.4.b),,,0.65,0.00,Miles,,
07-1641,Five Mile Creek LWD,R,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
07-1644,"Skokomish River GI, Phase 2 and 3",P,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1644,"Skokomish River GI, Phase 2 and 3",P,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
07-1650,Port Townsend Bay Shoreline/Nearshore Acquisition,A,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1650,Port Townsend Bay Shoreline/Nearshore Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,205.00,29.62,Acres,Land Acquisition Fee Simple,Acquisition
07-1650,Port Townsend Bay Shoreline/Nearshore Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,45.00,0.00,Acres,Land Acquisition Fee Simple,Acquisition
07-1650,Port Townsend Bay Shoreline/Nearshore Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.87,0.92,Miles,,
07-1650,Port Townsend Bay Shoreline/Nearshore Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
07-1650,Port Townsend Bay Shoreline/Nearshore Acquisition,A,Closed Comp,PSAR,Project Acquisition,Project acres by purpose type,,,0.00,249.50,Acres,,
07-1650,Port Townsend Bay Shoreline/Nearshore Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
07-1650,Port Townsend Bay Shoreline/Nearshore Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,45.00,45.00,Acres,Land Acquisition Easement,Acquisition
07-1650,Port Townsend Bay Shoreline/Nearshore Acquisition,A,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.30,Number,,
07-1650,Port Townsend Bay Shoreline/Nearshore Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,205.00,148.84,Acres,Land Acquisition Easement,Acquisition
07-1650,Port Townsend Bay Shoreline/Nearshore Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
07-1650,Port Townsend Bay Shoreline/Nearshore Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Project Acres Acquired,,,250.00,223.46,Acres,,
07-1650,Port Townsend Bay Shoreline/Nearshore Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
07-1657,SF Skokomish River LWD Enhancement Project Phase 2,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,0.0,1.3,Acres,,
07-1657,SF Skokomish River LWD Enhancement Project Phase 2,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.00,2.00,Miles,,
07-1657,SF Skokomish River LWD Enhancement Project Phase 2,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1657,SF Skokomish River LWD Enhancement Project Phase 2,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Miles of Stream Treated for channel structure placement (C.4.d.3),,0.00,1.00,Miles,In-stream Installation,Habitat
07-1657,SF Skokomish River LWD Enhancement Project Phase 2,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Yards Of Average Stream-Width At Mid-Point Of Worksite (C.4.d.6),,0,30,Yards,In-stream Installation,Habitat
07-1657,SF Skokomish River LWD Enhancement Project Phase 2,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Pools Created through channel structure placement (C.4.d.5),,0,0,Number,In-stream Installation,Habitat
07-1657,SF Skokomish River LWD Enhancement Project Phase 2,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Acres Of Streambed Treated for channel structure placement (C.4.d.4),,0.0,1.3,Acres,In-stream Installation,Habitat
07-1657,SF Skokomish River LWD Enhancement Project Phase 2,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Number of structures placed in channel (C.4.d.7),,0,30,Number,In-stream Installation,Habitat
07-1657,SF Skokomish River LWD Enhancement Project Phase 2,R,Closed Comp,PSAR,Instream Habitat Project,Streambank stabilization (C.4.e.1),Miles of Streambank Stabilized (C.4.e.3),,0.00,2.00,Miles,Streambank Stablized,Summary Metric
07-1657,SF Skokomish River LWD Enhancement Project Phase 2,R,Closed Comp,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,0.0,1.3,Acres,Riparian,Habitat
07-1657,SF Skokomish River LWD Enhancement Project Phase 2,R,Closed Comp,PSAR,Instream Habitat Project,Total Miles Of Instream Habitat Treated (C.4.b),,,4.00,1.00,Miles,,
07-1657,SF Skokomish River LWD Enhancement Project Phase 2,R,Closed Comp,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,0,3,Number,Permit,Planning
07-1657,SF Skokomish River LWD Enhancement Project Phase 2,R,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.90,Number,,
07-1659,Vance River Reach Assessment,P,Active Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1659,Vance River Reach Assessment,P,Active Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.50,Number,,
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,50.0,50.0,Acres,,
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Cultural Resources,Cultural resources,Cultural resource work completed,,0,40,Number,Cultural,Human
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Estuarine / Nearshore Project,Creation of new estuarine area (C.9.q.1),Acres of Estuary Created (C.9.q.2),,0.0,0.0,Acres,Estuary Made / Floodplain Improved,Summary Metric
