Project Description,Performance Summary,Funding Number,Application/Alt Reference Number,"Status
 (I=Inactive/Closed, A=Active)",Funding Fiscal Year,General Project Category,SRF/CBR Project (Needs) Category 1,SRF/CBR Project (Needs) Category 2,SRF/CBR Project (Needs) Category 3,County,WRIA,Leg Dist,Cong Dist,Fund Source,Recipient,Project Title,End Date,Funding Provided,Application Number,Applicant Organization,Project Title,Project Description,Population of the System,Population of the Project,Year of the Population Estimate,ESA_YES_NM,Statewide_PROJ_YES_NM,APP_START_DATE_DT,PROJ_LENGTH_NR,ANT_PROJ_COMP_DATE,INIT_OPER_DATE,Waterbodies Affected,303D List_True_False,303D LISTING_ID1,303D LISTING_ID2,303D LISTING_ID3,303D LISTING_ID4,303D LISTING_ID5,303D LISTING_ID6,303D LISTING_ID7,303D LISTING_ID8,303D LISTING_ID9,303D LISTING_ID10,Addresses Priority Area of Puget Sound Partnership Action Agenda,Area of Puget Sound Partnership Action Agenda Addressed,Affects Endangered Salmonids,Affects Threatened Salmonids,Affects Other Endangered Species,Involves Shellfish Habitat,Involves Domestic Water Supply,Involves Public Health Requirement,Addresses TMDL,Addresses NPDES,Addressing Any Other Needs,Program Plans Being Implemented,GMA Compliance,GMA Compliance Date,Anticipated Date of Reaching GMA Compliance,Wastewater Treatment System,Water Reclamation Reuse,Water Reclaimation Reuse Feasibility Study,Stormwater Pollutant Control Facility,Onsite Repair-Replacement,Combined Sewer Overflow Correction,Other Category of Facility Project,Combined Compr or Gen Sewer or SW Plan with Fac. Plan,Facility Comp. Plan Approval Date,Site Specific Fac. Plan,Site Specific Fac. Plan Approval Date,Facility Design,Facility Design Approval Date,Facility Construction,Facility Construction Approval Date,Facility Design & Construction,Facility Design & Construction Approval Date,Facility Design-Build ,Facility Design-Build Approval Date,Does project address permit requirements,Permit Number,Permit status,Permit BOD Limit,Permit TSS Limit,Facility Design Capacity,Project Involves Reducing A Pollutant Load,Project Improves Dissolved Oxygen,Project Reduces Nitrogen,Project Reduces Phosphorus,Project Reduces Sediment,Project Reduces Fecal Coliform,Project Improves Stream Temp,Other Pollutant Reductions/Improvements,Project Improves Shade,Project Improves Organic Debris,SW_CATEGORY_LID,SW_CATEGORY_Source Control,SW_CATEGORY_RETROFIT,SW_CATEGORY_RETROFIT_LID,SW_CATEGORY_VACTOR WASTE FACILITY,SW_CATEGORY_PRETREATMENT-OIL Control Facility,SW_CATEGORY_Flow Control to Sewers,SW_CATEGORY_TAPE,SW_CATEGORY_OTHER,SW_CATEGORY_READY to Construct,SW_CATEGORY_DSGN Complete,SW_CATEGORY_PRCNT_DESGN_Complete,ACT_Category_AgBMP,ACT_CATEGORY_SW_BMP,ACT_CATEGORY_OTHER_BMPS,ACT_CATEGORY_LAKE Restoration,ACT_CATEGORY_Water Quality Monitoring,ACT_CATEGORY_Riparian Restoration,ACT_CATEGORY_Large Woody Debris,ACT_CATEGORY_Bank Stabilization,ACT_CATEGORY_Public Education,ACT_CATEGORY_OSS Planning-Surveys,ACT_CATEGORY_Groundwater Protection Plan,ACT_CATEGORY_Pilot-Demo,ACT_CATEGORY_Comp Planning,ACT_CATEGORY_OTHER,WATERCAT_Freshwater River,WATERCAT_Freshwater Lake,WATERCAT_Freshwater Wetlands,WATERCAT_Groundwater,WATERCAT_Marine Water,WATERCAT_Saltwater Estuary,WATERCAT_Other Waterbody Types,Latitude,Longitude
"Stormwater Low Impact Development and farm planning practices will be installed at the Kitsap County Fairgrounds.  These retrofits will reduce runoff volume and sediments, bacteria, and nutrients from contaminating Barker Creek and Dyes Inlet shellfish beds.  These improvements provide an opportunity for public education about LID and farm management practices.",,G1100144,FP11086,A,2011,Stormwater Facility,,,,KITSAP,15,23,01,FY11 Capital Stormwater,KITSAP COUNTY,Kitsap County Fairgrounds LID Retrofit,6/30/15,"$468,750.00",FP11086,Kitsap County,Kitsap County Fairgrounds LID Retrofit Project,"Stormwater Low Impact Development and farm planning practices will be installed at the Kitsap County Fairgrounds.  These retrofits will reduce runoff volume and sediments, bacteria and nutrients from contaminating Barker Creek and Dyes Inlet shellfish beds.  These improvements provide an opportunity for public education about LID and farm management practices.",0,231000,0,ESA Listed Basin,Puget Sound,40360,48,41821,0,0,303(d) Listed,7605,0,0,0,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,North Central Puget Sound,0,Threatened Salmonids,0,Shellfish Habitat,0,0,TMDL Addessed,0,0,"(Retrofit existing stormwater systems Action C.2.6: Puget Sound Partnership Action Agenda pg. 105 www.psps.wa.gov),
(Inventory and Retrofit Inadequate Stormwater Facilities to Improve Water Quality: Dyes Inlet/Clear Creek Watershed Action Plan, pg. 49.  Kitsap Regional Library)",0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Involves Load Reduction,0,0,0,Reduces Sediment,Reduces Fecal Coliform,0,Flow volume,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Agricultural BMP,Stormwater BMP,0,0,0,0,0,0,Public Education and/or Outreach,0,0,PILOT/Demonstration Project,0,0,Freshwater Rivers,0,0,Ground Water,Direct Marine Water,Saltwater Estuary,0,47.6329,-122.6623
The City of Poulsbo will use the money to address water quality problems for the state of Washington by decreasing pollutant load and improving stormwater quality discharge to Liberty Bay from the City of Poulsbo's Anderson Parkway by retrofitting a 2.1 acre high-use parking lot with pervious pavement and rain gardens.  The city will also conduct water quality monitoring and provide public education opportunities to showcase LID stormwater management methods and benefits.,"The Anderson Parkway project installed 1,584 sq. ft.  Of bioretention and 4 Filtera concrete box filtration units. This will treat 114 MGD (350 acre feet) of stormwater removing and estimated 330 pounds per year of petroleum hydrocarbons, metals and toxic organic chemicals. Fecal coliform loading to adjacent shellfish beds will also be reduced  by an estimated 8.9x10^11 organisms annually. The prime location of Anderson Parkway provides a great opportunity to provide public education. Signs are now installed that explain the LID installations. Visitors will find more than the shopping, dining, and recreation opportunities at Poulsbo's Murial Williams Memorial Park, Pavilion, Boardwalk and the Port of Pulsbo's marina.",G1100150,FP11004,I,2011,Stormwater Facility,,,,KITSAP,15,23,01,FY11 Capital Stormwater,"POULSBO, CITY OF",Anderson Parkway LID,3/31/14,"$269,464.76",FP11004,"Poulsbo, City of",City of Poulsbo LID Retrofit Project,Decrease pollutant loading and improve stormwater quality discharge to Liberty Bay from the City of Poulsbo Anderson Parkway by retrofitting 2.1-acre high-use parking lot with pervious pavement and rain gardens.  Conduct water quality monitoring and provide public education opportunities to showcase LID stormwater management methods and benefits.,0,8000,0,ESA Listed Basin,Not Statewide,40546,18,41089,0,0,303(d) Listed,10268,23707,0,0,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,0,Endangered Salmonid,Threatened Salmonids,0,Shellfish Habitat,0,0,TMDL Addessed,0,0,0,GMA Comlpiant,0,Anticipating GMA Compliance for Project Duration,0,0,Not a Feasibility Study,Stormwater Pollutant Control,0,0,0,Combined Compr or Gen Sewer or SW Plan with Fac. Plan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maintains Dissolved Oxygen,Reduces Nitrogen,Reduces Phosphorus,Reduces Sediment,Reduces Fecal Coliform,0,"Total Petroleum Hydrocarbons, Metals",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,Stormwater BMP,0,0,Water Quality Monitoring,0,0,0,Public Education and/or Outreach,0,0,0,0,0,0,0,0,0,Direct Marine Water,Saltwater Estuary,0,47.7347,-122.6468
"The Health District will identify and correct failing onsite sewage systems and other FC sources by conducting marine shoreline surveys in the areas known to be impacted by fecal coliform pollution.  Properties associated with fecal ""hot spots"" will be inspected to determine the functional status of their septic systems and the adequacy of their animal waste management practices.  Residents will receive education about onsite sewage systems, as well as general watershed pollution and control solutions.  Failing onsite seweage systems and animal waste management problems will be corrected using a combination of education and enforcement or local onsite sewage and and solid waste regulations.","This project accomplished the following:
Submittal of all required reports.
Invited residents to public meetings and workshops.
Developed and distributed educational materials.
Worked with project partners in beach seeding and clam dig projects.
Conducted shoreline and property surveys.
Collected water samples after source corrections to determine improvements or declines in water quality.",G1100167,FP11072,I,2011,Nonpoint Source Activity,,,,KITSAP,15,23,01,Centennial Clean Water Program,KITSAP COUNTY HEALTH DISTRICT,Port Orchard Passage Pollution Identification and Correction,4/30/13,"$118,947.00",FP11072,Kitsap County Health District,Port Orchard Passage Shellfish Project,"This project will implement actions to significantly reduce fecal coliform contamination in Port Orchard Passage to improve water quality in the shellfish growing areas. This will be accomplished through the identification and correction of fecal contamination sources such as failing onsite sewage systems, animal waste, stormwater and freshwater discharges.",0,4000,0,ESA Listed Basin,Puget Sound,40360,27,41153,0,0,Not 303(d) Listed,0,0,0,0,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,North Central Puget Sound Action Area Profile,0,0,0,Shellfish Habitat,Domestic Water Supply,0,0,NPDES Addessed,Washington State Department of Health downgrade of approximately 148 acres of commercial shellfish harvest areas in the Port Orchard Passage growing area (August 2009).,"(Identify, inspect and correct failing onsite sewage systems: Kitsap County Local Management Plan for Onsite Sewage, June 2008, Part V, Sections I and II, pages 57-58, http://www.kitsapcountyhealth.com/environmenta_health/onsite/docs/mgmt_plan0708.pdf
Landscape Assessment and Conservation Prioritization of Fresh Water and Nearshore Salmonid Habitate in Kitsap County, May et al, 2003, page 252, identify and correct sources of known water quality problems.  
http://www.kitsapgov.com/dcd/nr/refugia/executive_summary.pdf
Bainbridge Island Shoreline Survey Project, Final Report, Kitsap County Health District, August 2008, Recommendations, Page 8. Copy of this report is attached.   
Kitsap County Board of Health Ordinance 2008-01, section 1, page 1; eliminate or minimize the adverse effects of sewage discharges to the ground, surface water or ground water.
http://www.kitsapcountyhealth.com/environmenta_health/onsite/docs/KCBOHO2008-01.pdf
Puget Sound Partnership Action Agenda, 2008, Priorities A3, A4, B1,C1,C2 and C4.),
(Identify and correct sources of contamination to surface waters from storm water runoff and agricultural waste: Landscape Assessment and Conservation Prioritization of Fresh Water and Nearshore Salmonid Habitat in Kitsap County, May et al, 2003, page 251 reduce habitat impacts from hobby farms and agricultural land and page 252 identify and correct sources of known water quality problems. 
http://www.kitsapgov.com/dcd/nr/refugia/executive_summary.pdf
Kitsap Regional Illicit Detection & Elimination Quality Assurance Project Plan page 8, improve water quality through storm water source control etc. 
http://www.kitsapcountyhealth.com/environmenta_health/water_quality/pic.htm
Puget Sound Partnership Action Agenda, 2008, Priorities A3, A4, B1,C1,C2 and C4.)",0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Involves Load Reduction,0,Reduces Nitrogen,Reduces Phosphorus,0,Reduces Fecal Coliform,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Agricultural BMP,Stormwater BMP,0,0,Water Quality Monitoring,0,0,0,Public Education and/or Outreach,On-site septic planning/surveys,Groundwater Protection/Planning,0,0,0,Freshwater Rivers,Freshwater Lakes,Freshwater Wetlands,Ground Water,Direct Marine Water,Saltwater Estuary,Marine nearshore environment,47.64698,-122.57142
"The Pierce County Public Works and Utilities will use the money to conduct water quality data on fecal coliform contamination in the Key Peninsula - Gig Harbor - Islands watershed.  This data will be used to focus education and outreach efforts to key demographics including landowners with failing septic tanks, boaters, and livestock owners on the impacts of activities to water quality.","This project accomplished the following:
All required reporting.
Over 400 water quality samples collected; 2,266 septic system education packets provided to new homeowners; 16 failing septic systems identified and corrected; an updated farm inventory was completed and BMPs established on 28 farms; completed a derelict vessel survey that led to the correction of 17 problem vessels; provided 179 beach programs and connected with 23,242 visitors; provided 539 classroom workshops to 13,522 students; held two landowner workshops as part of the shorelines for landowners series and 60 people attended; provided shellfish tissue sampling to watershed residents and collected 36 samples; stream volunteers accrued 989 hours of time sampling project area streams.",G1100202,FP11105,I,2011,Nonpoint Source Activity,,,,PIERCE,15,26,06,Centennial Clean Water Program,PIERCE COUNTY,Pierce County Shellfish Program,12/31/13,"$176,016.26",FP11105,Pierce County,Pierce County Shellfish Program,Multi-agency project to protect and restore water quality in commercial and recreational shellfish growing areas in the Key Penninsula-Gig Harbor-Islands (KGI) Watershed.,0,0,0,ESA Listed Basin,0,40360,24,41090,0,0,303(d) Listed,0,0,0,0,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,Reduce the sources of water pollution,0,0,0,Shellfish Habitat,0,0,0,NPDES Addessed,0,"Resolve on-site system failures, Key Peninsula-Islands Basin Plan, Key Peninsula-Gig Harbor Islands Watershed Action Plan, Key Peninsula-Gig Harbor-Islands Watershed Council 5-Year Action Agenda), (Implement agricultural BMPs, Key Peninsula-Islands Basin Plan, Key Peninsula-Gig Harbor Islands Watershed Action Plan, Key Peninsula-Gig Harbor-Islands Watershed Council 5-Year Action Agenda), (Implement water quality education & outreach programs,  Key Peninsula-Islands Basin Plan, Key Peninsula-Gig Harbor Islands Watershed Action Plan, Key Peninsula-Gig Harbor-Islands Watershed Council 5-Year Action Agenda)",0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Involves Load Reduction,Maintains Dissolved Oxygen,Reduces Nitrogen,Reduces Phosphorus,Reduces Sediment,Reduces Fecal Coliform,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Agricultural BMP,Stormwater BMP,Boats and marinas,0,Water Quality Monitoring,0,0,0,Public Education and/or Outreach,On-site septic planning/surveys,0,0,0,0,0,Freshwater Lakes,Freshwater Wetlands,0,Direct Marine Water,Saltwater Estuary,0,47.35435,-122.69579
The City of Bremerton will use LID methods to reduce runoff from 4 blocks of heavily traveled city streets and an urban park. The runoff is currently piped untreated into Sinclair Inlet.,"The grant was administered and managed by the Bremerton Parks Department.  The administration and management included timely submittal of all required performance items, progress reports and financial vouchers.
Preliminary design of park and green streets were performed in house by the city of Bremerton Landscape Architect and the City Engineer.  Perrone Consulting were used to provide geotechnical evaluation, hydraulic calculations, 100% construction Documents, construction Stormwater Pollution Plan and LID maintenance plan.  All necessary permits including SEPA, Demolition, Grading and building were secured. Updated design report and 90% Construction Drawings and Specifications we reissued to Ecology for review.  The final Ecology approval was issued on May 3rd 2012.
The City issued Notice of Award on June 21, 2012 to the lowest, responsive, responsible bidder South Bay Excavating. The City assigned 2 inspectors (Montee Geister and Tom Cressman) to oversee the work performed in street and park and Project Engineer; Ed Aban provided engineering oversight to ensure work was constructed according to Contract Documents. Park Planner, Colette Berna, acted as Project Administrator facilitating weekly construction meetings, reviewing submittals, processing pay applications and change orders, and enforcing prevailing wage provisions. The City issued Substantial Completion on February 7, 2013 and Final Inspector on May 23, 2013. (As- Built Drawings received from Contractor was forwarded to Ecology with this report.) Kiwanis Park will continue to be maintained during daily patrols by Bremerton Parks & Recreation Maintenance Staff in accordance with the LID Maintenance Plan. Stormwater bulbouts not adjacent to the park have been adopted by neighboring properly owners, utilizing slow- release watering bags to assist with tree establishment.
The project included extensive public educational outreach including press releases, LID educational seminars, site tours, brochures, and interpretive signs to educate and inform the public of the project and its outcomes.",G1100213,FP11097,I,2011,Stormwater Facility,,,,KITSAP,15,26,06,FY11 Capital Stormwater,BREMERTON CITY OF,Kiwanis Park Lid Retrofit and Green Streets Project,4/30/13,"$500,000.00",FP11097,"Bremerton, City of",Kiwanis Park LID Retrofit and Green Streets Project,"The Kiwanis Park LID Retrofit and Green Streets Project will use LID methods to reduce runoff from 4 blocks of heavily traveled city streets and an urban park. The runoff is currently piped untreated into Sinclair Inlet, a 303d listed body of water, or flows into the sanitary sewer system contributing to combined sewage overflow.",0,40000,0,ESA Listed Basin,Puget Sound,40391,24,41122,0,0,303(d) Listed,10252,10251,15738,10253,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,not specified on application,0,Threatened Salmonids,"Marbled Murrelet, Killer Whate, Steller Sea Lion, Humpback Whale, Leatherback Sea Turtle",Shellfish Habitat,0,0,TMDL Addessed,NPDES Addessed,CSO Correction,See application,GMA Comlpiant,0,Anticipating GMA Compliance for Project Duration,0,0,Not a Feasibility Study,Stormwater Pollutant Control,0,Combined Sewer Overflow Correction,Meet non-motorized transportation needs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Involves Load Reduction,0,Reduces Nitrogen,Reduces Phosphorus,Reduces Sediment,Reduces Fecal Coliform,0,"common road runoff pollutants incl. N, P, Pb, etc.",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,Stormwater BMP,"Preservation of coniferous tree canopy, TESC, compost amended soils, check dams, construction sequencing, drought tolerant vegetation, mulching, etc.",0,0,0,0,0,Public Education and/or Outreach,0,0,0,0,Combined Sewer Overflow Correction,0,0,0,Ground Water,Direct Marine Water,0,0,47.5661,-122.6404
"The proposed 7 acre project is a stormwater retrofit of a previous recreational vehicle storage yard to a Kitsap Transit public transportation maintenance facility. The project will use LID techniques throughout all paved surfaces for employees, and fleet, and includes a new city road.The new site will be built to city standards and new DOE approved Low Impact Development Guidance, V-1.2 dated June 10, 2009 and will protect Liberty Bay and Dogfish Creek.",,G1100222,FP11104,A,2011,Stormwater Facility,,,,KITSAP,15,23,01,FY11 Capital Stormwater,KITSAP COUNTY,Kitsap Transit North Base Stormwater LID Retrofit.,6/30/15,"$225,000.00",FP11104,Kitsap Transit/Kitsap County,North Base Perm. Paving and SW Treatment Project,"The proposed 7 acre project is a stormwater retrofit of a previous recreational vehicle storage yard to a Kitsap Transit public transportation maintenance facility. The project will use LID techniques throughout all paved surfaces for employees, and fleet, and includes a new city road.  The new site will be built to city standards and new DOE approved Low Impact Development Guidance, V-1.2 dated June 10, 2009 and will protect Liberty Bay and Dogfish Creek.",0,193400,0,ESA Listed Basin,Puget Sound,40634,6,40817,0,0,303(d) Listed,23529,38539,0,0,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,Dogfish Creek D.O. North Central Puget Sound,Endangered Salmonid,Threatened Salmonids,0,Shellfish Habitat,0,0,0,NPDES Addessed,0,0,0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,Facility Construction,0,0,0,0,0,Project has Ecology Permit,NPDES #WAR 011509,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Freshwater Rivers,0,Freshwater Wetlands,0,Direct Marine Water,Saltwater Estuary,0,47.7611,-122.6503
The City of Bremerton will use the money to retrofit streets and drainage systems in downtown Bremerton by installing pervious pavement and employing bioinfiltration and bioretention Low Impact Development strategies.,"This task was for the administration and management of the grant and document thereof by City staff for payment vouchers, progress reports, permits, and all paperwork related to the overall project - 
Two of the four area improvements were bundled together; Pacific Avenue and E.11th Street. Work on 5th Street was bundled with the Kiwanis Park Retrofit and Green Street Project (G1100213), and Anderson Cove was a separated project due in part to the property acquisition needed. Anderson Cove:  Final Ecology review and approval on March 29, 2013.
Pacific Avenue and E.11th Street.  Final Ecology Review and approval on July 12, 2012.
5th Street:  Final Ecology and approval on May 3, 2012.
 - 5th Street: Completion date was on 5/23/2013.
Pacific Avenue and E. 11th Street:  Completion date was on 4/30/2013.
5th Street was completed 
Provide oversight during construction of the projects - In –house staff performed construction management for all projects, with the exception of the project engineer for the Anderson Cove which was contracted with Exceleth Consulting, Inc. Projects were completed in compliance with the approved plans and specifications. E.11th Street/Pacific Avenue:  Date of Award to STAN Palmer construction on 7/19/2013
Anderson Cove:  Award of construction to Nova Contracting 6/20/2013.
5th Street :  Date of Award to South Bay Excavation on 5/23/2013
Construct projects - Anderson Cove was completed with final contract amount pending with the final contract amount of $297,386.41
Projects E.11th  Street /Pacific Avenue was completed on 7/19/204/30/2013 for a  final contract amount of $575,529.33. 
Project 5th Street was completed on 5/23/2013, for a final contract amount of $307,725.47.
Anderson Cove project was dependent on acquisition of two parcels property for LID improvements from Alan Cady. - A real estate purchase and sale agreement was executed on May 2011.  Completion of the sale was completed on May 12, 2011.",G1100226,,I,2011,Stormwater,,,,KITSAP,15,23,06,State Toxics Control Account,BREMERTON CITY OF,Stormwater Retrofit and Low Impact Development Project,12/31/13,"$1,342,906.33",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Kitsap County will use themoney to construct various low impact development (LID) facilities at the Poulsbo Recycle Center and Household Hazardous Waste collection area in Poulsbo.  For protection of Dogfish Creek and the Liberty Bay watershed, the installed LID best management practices will include various bioretention areas, rain gardens, green roofs, and a permeable paved parking area.",A grant recipient may not always be able to work through obstacles or find a solution to a problem that may come up during their project.,G1100272,SW11058,I,2011,Stormwater,,,,KITSAP,15,23,01,FY11 Capital Stormwater,KITSAP COUNTY,PRC and HHW LID Project,8/31/13,"$6,540.62",SW11058,Kitsap County,PRC and HHW LID Project,"Kitsap County proposes a two-part LID project: 1) The Poulsbo Recycle Center will be retrofit with perimeter bioretention, a green roof, and an LID demonstration area; and 2) Construction of a new Household Hazardous Waste (HHW) Collection Area adjoining PRC, includes a rain garden, green roof, and pervious parking area.",0,231000,0,ESA Listed Basin,Puget Sound,40695,19,41122,0,Dogfish Creek,303(d) Listed,53092,0,0,0,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,North Central and Hood Canal Action Areas,Endangered Salmonid,Threatened Salmonids,0,0,0,0,0,0,0,0,0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Freshwater Rivers,0,0,0,0,Saltwater Estuary,0,47.7578,-122.651
The City of Poulsbo will use the money to install rain gardens and tree box filters to reduce stormwater pollutant loading from 2.9 acres of imperious surface area in Old Town Poulsbo.,"The following was accomplished through this project:
Design plans and specifications.
Construction of  median bioretention cells, treebox stormwater filters, bioretention bulb-outs.
Design of educational signs, but they weren't installed prior to the expiration of this project.  They will be installed in early spring 2015.",G1100275,SW11013,I,2011,Stormwater,,,,KITSAP,15,23,01,FY11 Capital Stormwater,"POULSBO, CITY OF",Old Town Poulsbo LID Retrofit,12/31/13,"$271,099.88",SW11013,"Poulsbo, City of",Old Town Poulsbo LID Retrofit,Reduce pollutant loading and improve stormwater quality discharge to Liberty Bay from Old Town Poulsbo by retrofitting 2.9 acres of City streets with raingardens and tree box filters.  Conduct water quality monitoring and provide public education opportunities at an adjacent City park to showcase LID stormwater management methods and benefits.,0,8900,0,ESA Listed Basin,0,40575,18,41153,0,"Liberty Bay  47.723847
 122.638060",303(d) Listed,10268,23707,0,0,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,North Central Action Area - Liberty Bay,Endangered Salmonid,Threatened Salmonids,0,Shellfish Habitat,0,0,TMDL Addessed,0,0,0,0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Direct Marine Water,Saltwater Estuary,0,47.728391,-122.641322
The Vashon Island Park and Ride project will consist of adding approximately 40 percent more pervious concrete parking spaces and adding up to two rain gardens to reduce stormwater impacts to Judd Creek.,"Only 48% of the existing parking lot is regularly used, and the County recently learned that expanding the lot would require additional mitigation and permitting. The County cannot justify spending additional money for mitigation when they do not need to provide more parking in the first place. The county requested cancelation of their grant agreement.",G1200103,SW11091,I,2011,Stormwater,,,,KING,15,34,07,FY11 Capital Stormwater,KING COUNTY,Vashon Island Park and Ride,12/31/14,"$19,023.02",SW11091,King County,Vashon Island Park and Ride,"The Vashon Island Park and Ride project will consist of adding 27 porous concrete parking spaces and constructing two rain gardens to reduce stormwater impacts.  Additionally, this project will monitor the fate of infiltrated pollutants and provide opportunities for public education/stewardship of these techniques to nearby schools and community.",0,10123,0,ESA Listed Basin,Puget Sound,40664,44,41974,40817,"Judd Creek
47.42311        -122.46124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Threatened Salmonids,0,0,Domestic Water Supply,0,0,0,0,0,0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Freshwater Rivers,0,0,Ground Water,0,Saltwater Estuary,Judd Creek flows into Quartermaster Harbor,47.42307,-122.46147
The recipient's stormwater project will address implementation or management of municipal stormwater programs.,The project provided the RECIPIENT with the opportunity to do program activities within the  illicit discharge detection and limination (IDDE) program. The RECIPIENT elected to move the mapping of the municipal separate storm sewer system (MS4) forward with this funding.,G1200364,,I,2012,Stormwater,,,,KITSAP,15,26,06,FY09-11 Stormwater Capacity Grant (Operating and Capital Budget),"PORT ORCHARD, CITY OF",FY2012 Municipal Stormwater Grant,6/30/13,"$45,088.82",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
