"Location_ID","Location_Name","Location_Setting","Location_Description","Ecology_Facility_Site_ID","Is_Location_a_Well","Address","City","State","Zip_Code","County","Watershed_WRIA","Ecology_Region","US_Congressional_District","State_Legislative_District","NHD_Reach_Code","NHD_Reach_Measure","NHD_Edit_Date","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Horizontal_Coordinates_Represent","Horizontal_Coordinate_Accuracy","Horizontal_Coordinate_Collection_Method","Paper_Map_Scale","Township_Number","Township_Direction","Range_Number","Range_Direction","Section_Number","Quarter_Section_Township_Range","Quarter_Quarter_Section_Township_Range","Elevation_of","Elevation","Elevation_Units","Elevation_Datum","Elevation_Accuracy","Elevation_Collecton_Method","Sediment_Elevation_Elevation_Reference","Location_Suspect_or_Rejected_Flag","Location_Suspect_Code","Location_Suspect_Description","Location_ID_Alias","Associated_Study_ID","Record_Created_On","Location_System_ID"
"14A060","Goldsborough Cr @ Shelton","Stream or River","1ST STREET BRIDGE IN SHELTON",,"N","","","WA","","MASON","Kennedy-Goldsborough","Southwest Regional Office",10,35,"",,,47.21,-123.1,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",20,"N",3,"W",19,"NE","SE","",10,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001D, AMS001E",12/7/1998 12:00:00 AM,6002011
"14A070","Goldsborough Cr nr Shelton","Stream or River","LOCATED AT THE BRIDGE ON THE DAYTON-MATLOCK ROAD JUST WEST OF SHELTON",,"N","","","WA","","MASON","Kennedy-Goldsborough","Southwest Regional Office",10,35,"",,,47.20833,-123.1,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",20,"N",3,"W",19,"NE","SE","",140,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001B, AMS001E, FLOW9899",12/7/1998 12:00:00 AM,7002011
"14C050","HAPPY HOLLOW CR AT WA106","Stream or River","WA State Route 106 to Happy Hollow",,"N","","","WA","","Mason","Kennedy-Goldsborough","Southwest Regional Office",6,35,"17110018014644",0.059,2/26/2012 12:00:00 AM,47.388,-122.916111111111,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","Not Applicable",22,"N",2,"W",22,"NE","NW","",,"","","","","","","","","","AMS001",5/11/2012 10:30:40 AM,1096542
"14D070","SHERWOOD CR ABV MOUTH","Stream or River","Go about one half mile up E. Shewood Creek Rd. from Hwy 3 (SE of Allyn) to gate on left side of road. Note: the property is protected by a large bull mastiff dog. Don’t access property unless dog is under control.",,"N","","","WA","","Mason","Kennedy-Goldsborough","Southwest Regional Office",6,35,"17110019012871",61.992,2/26/2012 12:00:00 AM,47.3736666666667,-122.841666666667,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","Not Applicable",22,"N",1,"W",29,"NW","NW","",,"","","","","","","","","","AMS001",6/14/2013 2:52:09 PM,45048051
"15-BURL-0.5","BURLEY CREEK ABOVE SPRUCE RD & W.TRIB","Stream or River","Burley Creek ~200 ft upstream of Spruce Rd crossing and ~20 ft upstream of confluence with small tribuatry on the west bank",,"N","","","WA","","KITSAP","Kitsap","Northwest Regional Office",6,26,"17110019000153",50.2069451035277,2/26/2012 12:00:00 AM,47.4149158963982,-122.631609043799,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","=> 1:500",22,"N",1,"E",11,"NE","NE","",,"","","","","","","","","","NMat0003",11/5/2010 5:06:39 PM,35459381
"15A070","DEWATTO RIVER NEAR DEWATTO","Stream or River","DEWATTO RIVER AT BRIDGE ON COUNTY ROAD 2.2 MILES NE OF DEWATTO",,"N","","","WA","","MASON","Kitsap","Southwest Regional Office",6,35,"17110018000646",83.4554305984991,2/26/2012 12:00:00 AM,47.46926,-123.0271,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",23,"N",3,"W",23,"","","",,"","","","","","","","","","AMS001B, AMS001D, AMS001E, FLOW9798",1/1/1753 12:00:00 AM,524040
"15B050","CHICO CR NR CHICO","Stream or River","Located on Erlands Piont Road NW near Bremerton.  Approximately 0.75 miles north of Kitsap Lake and 1.25 miles south of Chico on Highway 3",,"N","","","WA","","KITSAP","Kitsap","Northwest Regional Office",6,35,"17110019003114",7.21741891229147,2/26/2012 12:00:00 AM,47.61167,-122.71111,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",25,"N",1,"E",32,"SW","NW","",,"","","","","","","","","","AMS001D, AMS001E, FLOW9798",1/1/1753 12:00:00 AM,7142370
"15B070","Chico Cr nr Bremerton","Stream or River","TAKE EXIT 132 OFF HIGHWAY 3 (NORTH OF BREMERTON). TURN LEFT ON CHICO WAY, GO 0.5 MILES AND TURN LEFT AT ERLANDS ROAD.",,"N","","","WA","","KITSAP","Kitsap","Northwest Regional Office",6,35,"",,,47.59027,-122.75833,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",24,"N",1,"W",11,"NE","NE","",65,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001B, AMS001E, FLOW9798",12/7/1998 12:00:00 AM,8002011
"15C070","CLEAR CR @ SILVERDALE","Stream or River","Located in Silverdale just downstream of Ridgepoint Dr. NW bridge over creek (park on Leven Road).",,"N","","","WA","","KITSAP","Kitsap","Northwest Regional Office",6,23,"17110019000570",15.7416641891334,2/26/2012 12:00:00 AM,47.65389,-122.68417,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",25,"N",1,"E",16,"SW","SE","",,"","","","","","","","","","AMS001D, AMS001E, FLOW9798",1/1/1753 12:00:00 AM,8542370
"15D070","TAHUYA R @ TAHUYA RIVER RD","Stream or River","From Belfair Tahuya Road turn left onto Tahuya River Road.  Go about 1.2 miles, park when river becomes visible.  Sample upstream of tributary entering from under road.",,"N","","","WA","","MASON","Kitsap","Southwest Regional Office",6,35,"17110018008179",26.4886803846541,2/26/2012 12:00:00 AM,47.4075947483611,-123.006816465703,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","1:24,000",22,"N",3,"W",12,"SW","SE","",,"","","","","","","","","","AMS001E",2/15/2008 8:25:24 AM,95834172
"15D090","TAHUYA R NR BELFAIR","Stream or River","Park at bridge on Belfair-Tahuya Rd.",,"N","","","WA","","MASON","Kitsap","Southwest Regional Office",6,35,"",,,47.43778,-122.95306,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",23,"N",2,"W",32,"SE","NE","",,"","","","","","","","","","AMS001D, AMS001E, FLOW9798",1/1/1753 12:00:00 AM,9304470
"15E070","UNION R NR BELFAIR","Stream or River","Go about 1 mile North of Belfair on Old Belfair Highway. Turn left on Timberline Drive and and park on the left approach to the bridge.",,"N","","","WA","","Mason","Kitsap","Southwest Regional Office",6,35,"17110018000235",70.91416,2/26/2012 12:00:00 AM,47.4638,-122.8313,"Discrete monitoring point","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",23,"N",1,"W",20,"SE","SW","",35.67,"FT","NAVD88","+/- 10 ft (3 m)","LIDAR (airborne laser)","","","","","","AMS001D, AMS001E, AMS004, FLOW9798, URTMDL",1/1/1753 12:00:00 AM,9214470
"15F050","BIG BEEF CR @ MOUTH","Stream or River","From Seabeck Hwy NW, take the road just east of the creek to the University of Washington fish weir.",,"N","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"17110018008012",13.34185793,2/26/2012 12:00:00 AM,47.6503708804558,-122.783486699794,"Discrete monitoring point","+/- 100 ft (30 m)","Unknown","",25,"N",1,"W",15,"SE","SW","",,"","","","","","","","","","AMS001, AMS001E",3/18/2005 10:54:29 AM,32833957
"15G050","LITTLE MISSION CR. @ HWY 300","Stream or River","From Belfair, go East on Hwy 300 for about 3.5 miles to culvert.",,"N","","","WA","","MASON","Kitsap","Southwest Regional Office",6,35,"17110018000669",41.1462134904851,2/26/2012 12:00:00 AM,47.4298172657966,-122.883754655651,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","1:25,000",22,"N",2,"W",1,"NW","NW","",,"","","","","","","","","","AMS001E, AMS004",3/27/2003 3:09:09 PM,76565222
"15H050","STIMSON CREEK @ HWY 300","Stream or River","From Belfair, go on Hwy 300 eastbound for about 5 miles to culvert.",,"N","","","WA","","MASON","Kitsap","Southwest Regional Office",6,35,"17110018000675",7.76987829869886,2/26/2012 12:00:00 AM,47.4170392832248,-122.907921669629,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","1:25,000",22,"N",2,"W",11,"NW","NW","",,"","","","","","","","","","AMS001E, AMS004",3/27/2003 3:13:14 PM,9060806
"15J050","BIG MISSION CR. @ HWY 300","Stream or River","From Belfair, go East on Hwy 300 for about 3 miles to brigde.",,"N","","","WA","","MASON","Kitsap","Southwest Regional Office",6,35,"17110018000246",6.79733925823324,2/26/2012 12:00:00 AM,47.4320394958825,-122.87542092527,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","1:25,000",22,"N",2,"W",1,"NE","NW","",,"","","","","","","","","","AMS001E, AMS004",3/27/2003 3:13:14 PM,79871799
"15K070","OLALLA CR. @ FORSMAN RD.","Stream or River","Go East on Hwy 16 from Tacome, cross Narrows Bridge, take Burley-Olalla Rd (about 12 miles from the Narrows), go right (East) on the road for 2 miles turn right onto Forsman Rd. and go about 1 mile to culvert.",,"N","","","WA","","KITSAP","Kitsap","Northwest Regional Office",6,26,"17110019000140",23.3616277600712,2/26/2012 12:00:00 AM,47.4284318332889,-122.567628823978,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","1:25,000",22,"N",2,"E",4,"NW","SW","",,"","","","","","","","","","AMS001E, AMS004",3/27/2003 3:13:14 PM,58758441
"15L050","SEABECK CR. @ MOUTH","Stream or River","From Seabeck, drive westbound on the Seabeck Highway, and turn right onto Miami Beach Rd.  Drive around a half mile, and park on the left side, past the bridge.",,"N","","","WA","","KITSAP","Kitsap","Northwest Regional Office",6,35,"17110018000548",16.337713595,8/24/2008 8:18:00 AM,47.6356494094568,-122.83959661171,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","1:24,000",25,"N",1,"W",29,"NW","NW","",,"","","","","","","","","","AMS001, AMS001E",3/18/2005 10:54:29 AM,59565608
"15M070","LLT ANDERSON CR. @ ANDERSON HILL RD","Stream or River","Station is on NW Anderson Hill Rd., due east of Warrenville.",,"N","","","WA","","KITSAP","Kitsap","Northwest Regional Office",6,35,"17110018000527",58.183786942,2/26/2012 12:00:00 AM,47.6603719427153,-122.755429108163,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","1:24,000",25,"N",1,"W",13,"NW","SW","",,"","","","","","","","","","AMS001, AMS001E",3/18/2005 10:54:29 AM,58631694
"15N070","STAVIS CR. @ MOUTH","Stream or River","Locate north of Seabeck on Stavis Bay Road NW.  Station is on right bank about 100 yards upstream of the bridge (just downstream of our flow gage).",,"N","","","WA","","KITSAP","Kitsap","Northwest Regional Office",6,35,"17110018000551",3.42834099326789,2/26/2012 12:00:00 AM,47.6248159835933,-122.87348592768,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","1:24,000",25,"N",2,"W",25,"SE","NW","",,"","","","","","","","","","AMS001, AMS001E",3/18/2005 10:54:29 AM,64213502
"16A070","SKOKOMISH RIVER NEAR POTLATCH","Stream or River","LOCATED AT HIGHWAY 101 BRIDGE ON THE SKOKOMISH RIVER APPROXIMATELY EIGHT MILES NORTH OF SHELTON",,"N","","","WA","","MASON","Skokomish-Dosewallips","Southwest Regional Office",6,35,"17110017000011",24.012505056,2/26/2012 12:00:00 AM,47.31,-123.17664,"stream center","+/- 100 ft (30 m)","Computer map - GIS-based","1:24,000",21,"N",4,"W",15,"NW","SE","",,"","","","","","","","","","AMS001, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001E, AMS004, KESE0004",1/1/1753 12:00:00 AM,2333320
"16B070","Hamma Hamma R nr Mouth","Stream or River","HAMMA HAMMA RIVER 4.5 MILES NW OF ELDON",,"N","","","WA","","MASON","Skokomish-Dosewallips","Southwest Regional Office",6,35,"",,,47.55027,-123.05166,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",24,"N",3,"W",27,"NW","NE","",25,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001B, AMS001E",12/7/1998 12:00:00 AM,9002011
"16B110","Hamma Hamma R nr Eldon","Stream or River","STATION LOCATED APPROX 5 MILES UPSTREAM FROM HOOD CANAL ON THE HAMMA HAMMA RIVER NEAR THE HAMMA HAMMA RIVER GUARD STATION",,"N","","","WA","","MASON","Skokomish-Dosewallips","Southwest Regional Office",6,35,"",,,47.58833,-123.11583,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",24,"N",3,"W",7,"NW","SE","",650,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001B, AMS001D, AMS001E",12/7/1998 12:00:00 AM,102011
"16B130","HAMMA HAMMA RIVER @ LENA CREEK CAMP","Stream or River","Hwy 101 to FR 25 to sampling site at Lena Creek Campground",,"N","","","WA","","MASON","Skokomish-Dosewallips","Southwest Regional Office",6,35,"17110018000204",71.083641,2/26/2012 12:00:00 AM,47.5972767653122,-123.153085626995,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","Not Applicable",24,"N",4,"W",2,"SE","NW","",,"","","","","","","","","","AMS001, AMS001-2",12/9/2010 11:03:29 AM,3393635
"16C070","Duckabush R @ Mouth","Stream or River","LOCATED ON HIGHWAY 101, APPROXIMATELY THREE MILES SOUTH OF BRINNON",,"N","","","WA","","JEFFERSON","Skokomish-Dosewallips","Southwest Regional Office",6,24,"",,,47.655,-122.93111,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",25,"N",2,"W",16,"SE","NE","",50,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001B, AMS001E",12/7/1998 12:00:00 AM,2102011
"16C090","DUCKABUSH RIVER NEAR BRINNON","Stream or River","LOCATED AT THE GS RECORDER IN THE SOUTHWEST QUARTER OF SECTION ONE` IN TOWNSHIP 25 NORTH, RANGE THREE WEST, 4.5 MILES UPSTREAM FROM THE MOUTH OF THE DUCKABUSH RIVER AND FIVE MILES WEST OF BRINNON, JEFFERSON COUNTY TO REACH STATION, DRIVE FROM SHELTON TOWA",,"N","","","WA","","JEFFERSON","Skokomish-Dosewallips","Southwest Regional Office",6,24,"17110018000168",44.689215019,2/26/2012 12:00:00 AM,47.68398,-123.01155,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",25,"N",3,"W",1,"SW","NW","",,"","","","","","","","","","AMS001, AMS001-2, AMS001B, AMS001D, AMS001E, AMS004",1/1/1753 12:00:00 AM,9054040
"16D070","Dosewallips R @ Brinnon","Stream or River","LOCATED AT THE BRIDGE ON HIGHWAY 101 AT BRINNON",,"N","","","WA","","JEFFERSON","Skokomish-Dosewallips","Southwest Regional Office",6,24,"",,,47.69027,-122.89777,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",25,"N",2,"W",2,"NW","","",25,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001B, AMS001D, AMS001E",12/7/1998 12:00:00 AM,3102011
"16E070","Finch Cr @ Hoodsport","Stream or River","Highway 101 in Hoodsport.  Across from Hoodsport salmon hatchery.",,"N","","","WA","","MASON","Skokomish-Dosewallips","Southwest Regional Office",6,35,"",,,47.40688,-123.14391,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",22,"N",4,"W",11,"SE","NE","",20,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001D, AMS001E, FLOW9899",12/7/1998 12:00:00 AM,4102011
"17A060","BIG QUILCENE R NR MOUTH","Stream or River","Driving southbound through the town of Quilcene, turn left on Rodgers Rd.  Drive ,0.1 miles, turn left on Linger Longer Rd. and drive 0.3 miles to the bridge.",,"N","","","WA","","JEFFERSON","Quilcence-Snow","Southwest Regional Office",6,24,"17110018000074",26.75141,2/26/2012 12:00:00 AM,47.8183888888889,-122.874027777778,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",27,"N",2,"W",24,"NE","SW","",,"","","","","","","","","","AMS001, AMS001E, AMS004, G1400530",1/1/1753 12:00:00 AM,1175870
"17A070","Big Quilcene R nr Quilcene","Stream or River","LOCATED AT THE BRIDGE ON HIGHWAY 101, 1.9 MILES SOUTHWEST OF QUILCENE",,"N","","","WA","","JEFFERSON","Quilcence-Snow","Southwest Regional Office",6,24,"",,,47.81083,-122.90916,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",27,"N",2,"W",22,"SE","SE","",120,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001B, AMS001D, AMS001E, FLOW9899",12/7/1998 12:00:00 AM,5102011
"17B070","Chimacum Cr nr Irondale","Stream or River","Chimacum Center Road.",,"N","","","WA","","JEFFERSON","Quilcence-Snow","Southwest Regional Office",6,24,"",,,48.04166,-122.78,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",29,"N",1,"W",3,"NE","NE","",40,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001D, AMS001E",12/7/1998 12:00:00 AM,6102011
"17B090","Chimacum Cr @ Hadlock","Stream or River","STATION LOCATED APPROX ONE MILE WEST OF HADLOCK AND ONE MILE SOUTH OF IRONDALE ON ROAD CROSSING CHIMACUM CREEK",,"N","","","WA","","JEFFERSON","Quilcence-Snow","Southwest Regional Office",6,24,"",,,48.03083,-122.77555,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",29,"N",1,"W",2,"SW","SW","",80,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001B",12/7/1998 12:00:00 AM,7102011
"17B100","Chimacum Cr @ Chimacum","Stream or River","Chimacum Cr @ Chimacum",,"N","","","WA","","JEFFERSON","Quilcence-Snow","Southwest Regional Office",6,24,"",,,48.01183,-122.77325,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",29,"N",1,"W",14,"NW","NW","",100,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001D, AMS001E",12/7/1998 12:00:00 AM,8102011
"17B110","Chimacum Cr nr Chimacum","Stream or River","STATION LOCATED APPROX 2.5 MILES NORTH FROM CENTER ON A PRIVATE ROAD ON CHIMACUM CREEK",,"N","","","WA","","JEFFERSON","Quilcence-Snow","Southwest Regional Office",6,24,"",,,47.97416,-122.77638,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",29,"N",1,"W",26,"SW","NW","",120,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001B",12/7/1998 12:00:00 AM,9102011
